Bezirksamt,Bezirksamt
Charlottenburg-Wilmersdorf von Berlin,Charlottenburg-Wilmersdorf von Berlin
Friedrichshain-Kreuzberg von Berlin,Friedrichshain-Kreuzberg von Berlin
Lichtenberg von Berlin,Lichtenberg von Berlin
Marzahn-Hellersdorf von Berlin,Marzahn-Hellersdorf von Berlin
Mitte von Berlin,Mitte von Berlin
Neukölln von Berlin,Neukölln von Berlin
Pankow von Berlin,Pankow von Berlin
Reinickendorf von Berlin,Reinickendorf von Berlin
Spandau von Berlin,Spandau von Berlin
Steglitz-Zehlendorf von Berlin,Steglitz-Zehlendorf von Berlin
Tempelhof-Schöneberg von Berlin,Tempelhof-Schöneberg von Berlin
Treptow-Köpenick von Berlin,Treptow-Köpenick von Berlin
Geschäftsbereich,Geschäftsbereich
Sozialwesen,Sozialwesen
Landesamt für Gesundheit und Soziales Berlin - ZLA -,Landesamt für Gesundheit und Soziales Berlin - ZLA -
Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.,Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.
Antrag auf,Antrag auf
Sozialhilfe nach SGB XII,Sozialhilfe nach SGB XII
Leistungen nach AsylbLG,Leistungen nach AsylbLG
Zutreffendes bitte ankreuzen und ausfüllen,Zutreffendes bitte ankreuzen und ausfüllen
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt"
Art der Hilfe,Art der Hilfe
innerhalb einer Einrichtung,innerhalb einer Einrichtung
außerhalb einer Einrichtung,außerhalb einer Einrichtung
Antragsteller/in (Personenziffer 1),Antragsteller/in (Personenziffer 1)
Ehegatte/Lebenspartner/in (Personenziffer 2),Ehegatte/Lebenspartner/in (Personenziffer 2)
"Name, ggf. Geburtsname, Vorname","Name, ggf. Geburtsname, Vorname"
Geburtsdatum,Geburtsdatum
Geburtsort/Kreis/Land,Geburtsort/Kreis/Land
männl.,männl.
weibl.,weibl.
nicht im gemeinsamen Haushalt,nicht im gemeinsamen Haushalt
keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen,keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen
im gemeinsamen Haushalt,im gemeinsamen Haushalt
minderjährig,minderjährig
Bitte Anlage 1 Buchstabe B ausfüllen,Bitte Anlage 1 Buchstabe B ausfüllen
Familienstand,Familienstand
ledig,ledig
eheähnliche Gemeinschaft,eheähnliche Gemeinschaft
eingetragene Lebenspartnerschaft,eingetragene Lebenspartnerschaft
verheiratet,verheiratet
dauernd getrennt lebend,dauernd getrennt lebend
geschieden,geschieden
verwitwet,verwitwet
Seit,Seit
bitte Anlage 1 Buchstabe A ausfüllen,bitte Anlage 1 Buchstabe A ausfüllen
Staatsangehörigkeit,Staatsangehörigkeit
deutsch,deutsch
bitte Anlage 2 ausfüllen,bitte Anlage 2 ausfüllen
Personaldokument bitte vorlegen,Personaldokument bitte vorlegen
ausgestellt von (Dienststelle),ausgestellt von (Dienststelle)
gültig bis,gültig bis
bisher keine Leistungen erhalten,bisher keine Leistungen erhalten
bereits Leistungen erhalten,bereits Leistungen erhalten
bis,bis
von (Dienststelle),von (Dienststelle)
Geschäftszeichen,Geschäftszeichen
es besteht eine Betreuung nach dem Betreuungsgesetz,es besteht eine Betreuung nach dem Betreuungsgesetz
es besteht Beistandschaft,es besteht Beistandschaft
bitte Bestallung beifügen,bitte Bestallung beifügen
Heimatvertriebene/r (Aussiedler/in) - Ausweis A -,Heimatvertriebene/r (Aussiedler/in) - Ausweis A -
Vertriebene/r (Aussiedler/in) - Ausweis B -,Vertriebene/r (Aussiedler/in) - Ausweis B -
Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes,Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes
Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes,Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes
Sowjetzonenflüchtling - Ausweis C -,Sowjetzonenflüchtling - Ausweis C -
ausgestellt am,ausgestellt am
Schwerbehindertenausweis (Kopie des Ausweises beifügen),Schwerbehindertenausweis (Kopie des Ausweises beifügen)
"Merkzeichen (G, aG)","Merkzeichen (G, aG)"
Antrag gestellt?,Antrag gestellt?
Ja,Ja
Nein,Nein
Sozialversicherung,Sozialversicherung
keine (Begründung auf Seite 4 -XI-),keine (Begründung auf Seite 4 -XI-)
Rentenversicherung,Rentenversicherung
Pflegeversicherung,Pflegeversicherung
Krankenversichert bei,Krankenversichert bei
Rentenversichert bei,Rentenversichert bei
Rentenversicherungsnummer,Rentenversicherungsnummer
Krankenversicherung:,Krankenversicherung:
Pflichtversicherung,Pflichtversicherung
Freiwillige Versicherung,Freiwillige Versicherung
Familienversicherung *,Familienversicherung *
Private Versicherung,Private Versicherung
Betreuung der Krankenkassen nach § 264 SGB V,Betreuung der Krankenkassen nach § 264 SGB V
Umfang bzw. Ausschluss der Erwerbsfähigkeit,Umfang bzw. Ausschluss der Erwerbsfähigkeit
Personenziffer 1,Personenziffer 1
Personenziffer 2,Personenziffer 2
Sind Sie zurzeit erwerbstätig?,Sind Sie zurzeit erwerbstätig?
Tätigkeit:,Tätigkeit:
Arbeitgeber:,Arbeitgeber:
Umfang der Erwerbsfähigkeit,Umfang der Erwerbsfähigkeit
Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?
"Nein, weil","Nein, weil"
Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?
Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente),Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente)
unbefristet:,unbefristet:
für welchen Zeitraum?,für welchen Zeitraum?
Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?,Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?
Stufe:,Stufe:
Auszubildender/Student - auch in Schulausbildung -,Auszubildender/Student - auch in Schulausbildung -
"Ja, in Ausbildung / Studium als","Ja, in Ausbildung / Studium als"
Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule,Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule
