"Bezirksamt","District authority"
"Charlottenburg-Wilmersdorf von Berlin","Charlottenburg-Wilmersdorf, Berlin"
"Friedrichshain-Kreuzberg von Berlin","Friedrichshain-Kreuzberg, Berlin"
"Lichtenberg von Berlin","Lichtenberg, Berlin"
"Marzahn-Hellersdorf von Berlin","Marzahn-Hellersdorf, Berlin"
"Mitte von Berlin","Mitte, Berlin"
"Neukölln von Berlin","Neukölln, Berlin"
"Pankow von Berlin","Pankow, Berlin"
"Reinickendorf von Berlin","Reinickendorf, Berlin"
"Spandau von Berlin","Spandau, Berlin"
"Steglitz-Zehlendorf von Berlin","Steglitz-Zehlendorf, Berlin"
"Tempelhof-Schöneberg von Berlin","Tempelhof-Schöneberg, Berlin"
"Treptow-Köpenick von Berlin","Treptow-Köpenick, Berlin"
"Geschäftsbereich","Department"
"Sozialwesen","Social Welfare"
"Landesamt für Gesundheit und Soziales Berlin - ZLA -","State Office for Health and Social Affairs Berlin"
"Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.","In order for us to process your application, you must answer all the questions. The legal basis for the collection of data can be found on the attached sheet."
"Antrag auf","Application for"
"Sozialhilfe nach SGB XII","Social Welfare in accordance with Chapter 12 of the Social Security Code"
"Leistungen nach AsylbLG","Benefits in accordance with the Asylum Seekers Benefits Act (AsylbLG)"
"Zutreffendes bitte ankreuzen und ausfüllen","Please tick and fill out as appropriate"
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","If the space provided is not sufficient, please enter your information

- in Section XI of the application or

- on a separate sheet"
"Art der Hilfe","Type of assistance"
"innerhalb einer Einrichtung","within an institution"
"außerhalb einer Einrichtung","outside an institution"
"Antragsteller/in (Personenziffer 1)","Main Applicant"
"Ehegatte/Lebenspartner/in (Personenziffer 2)","Spouse/Partner (Person number 2)"
"Name, ggf. Geburtsname, Vorname","Surname (with maiden name if applicable), first name"
"Geburtsdatum","Date of birth"
"Geburtsort/Kreis/Land","Place of birth/region/country"
"männl.","male"
"weibl.","female"
"nicht im gemeinsamen Haushalt","not in a shared household"
"keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen","no further information on this page; fill out only Annex 1 Part A"
"im gemeinsamen Haushalt","in a shared household"
"minderjährig","minor"
"Bitte Anlage 1 Buchstabe B ausfüllen","Please fill out Annex 1 Part B"
"Familienstand","Marital status"
"ledig","single"
"eheähnliche Gemeinschaft","marriage-like partnership"
"eingetragene Lebenspartnerschaft","civil partnership"
"verheiratet","married"
"dauernd getrennt lebend","permanently separated"
"geschieden","divorced"
"verwitwet","widowed"
"Seit","Since"
"bitte Anlage 1 Buchstabe A ausfüllen","please fill out Annex 1 Part A"
"Staatsangehörigkeit","Nationality"
"deutsch","German"
"bitte Anlage 2 ausfüllen","please fill out Annex 2"
"Personaldokument bitte vorlegen","Please provide identification document"
"ausgestellt von (Dienststelle)","issued by (agency)"
"gültig bis","valid until"
"bisher keine Leistungen erhalten","no benefits previously received"
"bereits Leistungen erhalten","benefits previously received"
"bis","until"
"von (Dienststelle)","from (agency)"
"Geschäftszeichen","Reference number"
"es besteht eine Betreuung nach dem Betreuungsgesetz","I am receiving support from a legal representative in accordance with the Betreuungsgesetz (in the case that you are of full age)"
"es besteht Beistandschaft","I am receiving support from a legal representative (in the case that you are a minor)"
"bitte Bestallung beifügen","please supply documentation"
"Heimatvertriebene/r (Aussiedler/in) - Ausweis A -","Expellee (Emigrant) - Identity document A -"
"Vertriebene/r (Aussiedler/in) - Ausweis B -","Displaced Person (Emigrant) - Identity document B -"
"Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes","Ethnic German Repatriate - Certification (in accordance with Paragraph 15 Sub-section 1 of the BVFG (German Law for Displaced Persons and Refugees)) and Certificate of Registration from the German Federal Office of Administration"
"Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes","Spouse or offspring of an Ethnic German Repatriate - Certification (in accordance with Paragraph 15 Sub-section 2 of the BVFG (German Law for Displaced Persons and Refugees)) and Certificate of Registration from the German Federal Office of Administration"
"Sowjetzonenflüchtling - Ausweis C -","Soviet zone refugee - Identity document C -"
"ausgestellt am","issued on"
"Schwerbehindertenausweis (Kopie des Ausweises beifügen)","Severely Handicapped Pass (attach copy of pass)"
"Merkzeichen (G, aG)","Type of pass (level of incapacity)"
"Antrag gestellt?","Application submitted?"
"Ja","Yes"
"Nein","No"
"Sozialversicherung","Social insurance"
"keine (Begründung auf Seite 4 -XI-)","none (justification on page 4 -XI-)"
"Rentenversicherung","Pension fund"
"Pflegeversicherung","Nursing care insurance"
"Krankenversichert bei","Health insurance provider"
"Rentenversichert bei","Pension fund name"
"Rentenversicherungsnummer","Pension fund number"
"Krankenversicherung:","Health insurance:"
"Pflichtversicherung","Compulsory insurance"
"Freiwillige Versicherung","Voluntary insurance"
"Familienversicherung *","Family insurance *"
"Private Versicherung","Private insurance"
"Betreuung der Krankenkassen nach § 264 SGB V","Support from Health Insurance Company in accordance with Paragraph 264 in SGB V (Volume 5 of the German Code of Social Law)"
"Umfang bzw. Ausschluss der Erwerbsfähigkeit","Extent of ability to work or limitation thereof"
"Personenziffer 1","Person number 1"
"Personenziffer 2","Applicant 2"
"Sind Sie zurzeit erwerbstätig?","Are you currently employed?"
"Tätigkeit:","Type of work:"
"Arbeitgeber:","Employer:"
"Umfang der Erwerbsfähigkeit","Extent of ability to work"
