Bezirksamt,Oficina comarcal
Charlottenburg-Wilmersdorf von Berlin,Charlottenburg-Wilmerdorf de Berlín
Friedrichshain-Kreuzberg von Berlin,Friedrichshain-Kreuzberg de Berlín
Lichtenberg von Berlin,Lichtenberg de Berlín
Marzahn-Hellersdorf von Berlin,Marzahn-Hellersdorf de Berlín
Mitte von Berlin,Mitte de Berlín
Neukölln von Berlin,Neukölln de Berlín
Pankow von Berlin,Pankow de Berlín
Reinickendorf von Berlin,Reinickendorf de Berlín
Spandau von Berlin,Spandau de Berlín
Steglitz-Zehlendorf von Berlin,Steglitz-Zehlendorf de Berlín
Tempelhof-Schöneberg von Berlin,Tempelhof-Schöneberg de Berlín
Treptow-Köpenick von Berlin,Treptow-Köpenick de Berlín
Geschäftsbereich,ámbito de competencia
Sozialwesen,asuntos sociales
Landesamt für Gesundheit und Soziales Berlin - ZLA -,Oficina Estatal de Sanidad y Asuntos Sociales - ZLA
Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.,Es necesario que conteste todas las preguntas para que su solicitud pueda ser tramitada. Puede consultar las bases juríicas sobre la recogida de datos en la hoja informativa que se encuentra en anexo.
Antrag auf,Solicitud de
Sozialhilfe nach SGB XII,asistencia social según SGB XII
Leistungen nach AsylbLG,prestaciones según AsylbLG
Zutreffendes bitte ankreuzen und ausfüllen,"Por favor, marque y complete lo que corresponda"
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","Si el espacio no es suficiente, por favor haga sus indicaciónes

- en el punto XI de esta solicitud

- en una hoja adicional"
Art der Hilfe,tipo de asistencia
innerhalb einer Einrichtung,dentro de una facilidad
außerhalb einer Einrichtung,fuera de una facilidad
Antragsteller/in (Personenziffer 1),solicitante (persona nº 1)
Ehegatte/Lebenspartner/in (Personenziffer 2),esposo(a) / compañero(a) (persona nº 2)
"Name, ggf. Geburtsname, Vorname",apellido (si es necesario apellido de soltera)
Geburtsdatum,fecha de nacimiento
Geburtsort/Kreis/Land,lugar de nacimiento/distrito administrativo/país
männl.,masculino
weibl.,femenino
nicht im gemeinsamen Haushalt,hogar separado
keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen,ningúna otra información en esta página; solamente complete anexo 1 parte A
im gemeinsamen Haushalt,en el mismo hogar
minderjährig,menor de edad
Bitte Anlage 1 Buchstabe B ausfüllen,"Por favor, rellene anexo 1 parte B"
Familienstand,estado civil
ledig,soltero/a
eheähnliche Gemeinschaft,unión libre
eingetragene Lebenspartnerschaft,unión civil
verheiratet,casado/a
dauernd getrennt lebend,permanentamente separado/a
geschieden,divorciado/a
verwitwet,viudo/a
Seit,página
bitte Anlage 1 Buchstabe A ausfüllen,"por favor, rellene anexo 1 parte A"
Staatsangehörigkeit,nacionalidad
deutsch,alemana
bitte Anlage 2 ausfüllen,"por favor, rellene anexo 2"
Personaldokument bitte vorlegen,"por favor, presente su documento de identidad"
ausgestellt von (Dienststelle),expedido por (autoridad)
gültig bis,válido hasta
bisher keine Leistungen erhalten,aún no se han recibido ningúnas prestaciones
bereits Leistungen erhalten,ya se han recibido prestaciones
bis,hasta
von (Dienststelle),de (autoridad)
Geschäftszeichen,referencia
es besteht eine Betreuung nach dem Betreuungsgesetz,existe una asistencia según la ley de asistencia
es besteht Beistandschaft,existe curatela
bitte Bestallung beifügen,"por favor, adjunte la autorización"
Heimatvertriebene/r (Aussiedler/in) - Ausweis A -,desplazado/a (emigrante) - documento A -
Vertriebene/r (Aussiedler/in) - Ausweis B -,expulsado/a (emigrante) - documento B -
Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes,emigrante de origen alemán de los estados de Europa del este - certificado (de § 15 párrafo 1 BVFG) y documento de registro de la oficina federal de administración
Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes,esposo/a o descendiente de un/a emigrante de origen alemán de los estados de Europa del este - certificado (de §15 párrafo 2 BFVG) y documento de registo de la oficina federal de administración
Sowjetzonenflüchtling - Ausweis C -,refugiado de la zona soviética - documento C -
ausgestellt am,expedido el
Schwerbehindertenausweis (Kopie des Ausweises beifügen),Certificado de discapacidad (adjuntar copia del documento)
"Merkzeichen (G, aG)","señalización (G, aG)"
Antrag gestellt?,Se ha presentado una solicitud?
Ja,Sí
Nein,No
Sozialversicherung,seguro social
keine (Begründung auf Seite 4 -XI-),ningúno (causas en la pagina 4 -XI-)
Rentenversicherung,seguro de pensiones
Pflegeversicherung,seguro de dependencia
Krankenversichert bei,afiliado al seguro de enfermedad de
