Bezirksamt,اداره ی منطقه
Mitte von Berlin,«ميتّ» از برلين
Neukölln von Berlin,«نُيكلّن» از برلين
Pankow von Berlin,«پَنكو» از برلين
Reinickendorf von Berlin,«رَينيكِن» از برلين
Spandau von Berlin,«شپاندو» از برلين
Steglitz-Zehlendorf von Berlin,«شتگلس - سلندورف» از برلين
Tempelhof-Schöneberg von Berlin,« تمپل هوف- شونه برگ » از برلين
Treptow-Köpenick von Berlin,«ترپتو- کوپنیک» از برلين
Geschäftsbereich,حوزه عمل
Sozialwesen,اداره اجتماعى
Landesamt für Gesundheit und Soziales Berlin - ZLA -,Landesamt für Gesundheit und Soziales Berlin - ZLA - (اداره دولتىء سلامتى و اجتماعى برلين)
Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.,لازم است كه تمام سولها را جواب بدهيد. در ورقه كه اضافه شده، ميتوانيد در باره اساسهاى حقوقى از اين سوال كردن بخانيد.
Antrag auf,درخواست
Sozialhilfe nach SGB XII,کمک اجتماعی در رابطه به SGB XII
Leistungen nach AsylbLG,کمک مالی در ارتباط با قانون AsylbLG
Zutreffendes bitte ankreuzen und ausfüllen,لطفا گزینه ی مناسب را علامت بزنید و پرکنید
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt",اگر جاه كم باشد، خواهش مي كنيم كه اطلاعهاتان - در XI در اين مدرك يا - روى يك ورقهئ مخصوص بكنيد
Art der Hilfe,نوعى كمك
innerhalb einer Einrichtung,در داخل يك تاسیسات مسکنی
außerhalb einer Einrichtung,بيرون يك تاسیسات مسکنی
Antragsteller/in (Personenziffer 1),كسی (مرد یا زن) كه اين درخواست را مي كند
Ehegatte/Lebenspartner/in (Personenziffer 2),همسر یا مشترک زندگی (مرد با زن)
"Name, ggf. Geburtsname, Vorname",نام خانوادگی، نام
Geburtsdatum,تاریخ تولد
Geburtsort/Kreis/Land,محل تولد/منطقه/كشور
männl.,مرد
weibl.,زن
nicht im gemeinsamen Haushalt,خانهتان يكى نيست
keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen,رو اين صفه لازم نيست بيشتر در باره همسر پركنيد. فقط پیوست ١ حرف A پر كنيد
im gemeinsamen Haushalt,خانهتان يكى است
minderjährig,خردسال
Bitte Anlage 1 Buchstabe B ausfüllen,خواهش مي كنيم پیوست ١ حرف B را پر كنيد
Familienstand,وضعیت تاهل
ledig,مجرد
eheähnliche Gemeinschaft,زندگى مشترك خارج از ازدواج
eingetragene Lebenspartnerschaft,شريك زندگي ثبت شده
verheiratet,مزدوج
dauernd getrennt lebend,ترك رابطه
geschieden,طلاق گرفته
verwitwet,بيوه شده
Seit,صفحه
bitte Anlage 1 Buchstabe A ausfüllen,لُطفا ضميمه ى ١ حرف آ را پر كنيد
Staatsangehörigkeit,ملیت
deutsch,آلمانی
bitte Anlage 2 ausfüllen,لطفا ضميمه ى ٢ را پر كنيد
Personaldokument bitte vorlegen,مدارك شناسايى را لطفا ارائه كنيد
ausgestellt von (Dienststelle),محل صدور ( ارگان صادر کننده )
gültig bis,معتبر تا
bisher keine Leistungen erhalten,تا كنون هيچ كمك هزينه اى دريافت نشده
bereits Leistungen erhalten,هم اكنون كمك هزينه دريافت شده
bis,تا
von (Dienststelle),از( محل دريافت)
Geschäftszeichen,شماره ى پيگيرى
es besteht eine Betreuung nach dem Betreuungsgesetz,بر اساس قانون سرپرستى يك نوع سرپرستى وجود دارد
es besteht Beistandschaft,یک سرپرست قانونی وجود دارد
bitte Bestallung beifügen,لطفا اجازه ی سرپستی قانونی را ضمیمه کنید
Heimatvertriebene/r (Aussiedler/in) - Ausweis A -,آوارگان - مدرک شناسایی A-
Vertriebene/r (Aussiedler/in) - Ausweis B -,آوارگان -مدرک شناسایی B-
Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes,مهاجران آلمانی تبار - گواهی ( طبق § 15 Abs. 1 BVFG ) و برگه ی ثبت از سازمان مدیریت کشور-
Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes,همسر یا فرزند یک مهاجر آلمانی تبار - گواهی و برگه ی ثبت از سازمان مدیریت کشور طبق (nach § 15 Abs. 2 BFVG) -
Sowjetzonenflüchtling - Ausweis C -,پناهجو از مناطق شوروی
ausgestellt am,تاریخ صدور
Schwerbehindertenausweis (Kopie des Ausweises beifügen),کارت معلولیت جسمی ( کپی کارت معلولیت را ضمیمه کنید)
"Merkzeichen (G, aG)","علامت شناسایی (G,aG)"
Antrag gestellt?,درخواست داده شده است؟
Ja,بله
Nein,نه
Sozialversicherung,بیمه ی خدمات اجتماعی
keine (Begründung auf Seite 4 -XI-),بدون بیمه ( علت در صفحه ی 4-XI-)
Rentenversicherung,بیمه ی بازنشستگی
Pflegeversicherung,بیمه ی بهیاری
Krankenversichert bei,اسم شرکت بیمه خدمات درمانی
Rentenversichert bei,اسم شرکت بیمه ی بازنشستگی
Rentenversicherungsnummer,شماره ی بیمه ی بازنشستگی
Krankenversicherung:,بیمه ی خدمات درمانی
Pflichtversicherung,بیمه ی اجباری
Freiwillige Versicherung,بیمه ی داوطلبانه
Familienversicherung *,بیمه ی خانوادگی
Private Versicherung,بیمه ی خصوصی
