Bezirksamt,Mairie de l'arrondissement
Charlottenburg-Wilmersdorf von Berlin,Charlottenburg-Wilmersdorf de Berlin
Friedrichshain-Kreuzberg von Berlin,Friedrichshain-Kreuzberg de Berlin
Lichtenberg von Berlin,Lichtenberg de Berlin
Marzahn-Hellersdorf von Berlin,Marzahn-Hellersdorf de Berlin
Mitte von Berlin,Mitte de Berlin
Neukölln von Berlin,Neukölln de Berlin
Pankow von Berlin,Pankow de Berlin
Reinickendorf von Berlin,Reinickendorf de Berlin
Spandau von Berlin,Spandau de Berlin
Steglitz-Zehlendorf von Berlin,Steglitz-Zehlendorf de Berlin
Tempelhof-Schöneberg von Berlin,Tempelhof-Schöneberg de Berlin
Treptow-Köpenick von Berlin,Treptow-Köpenick de Berlin
Geschäftsbereich,Département
Sozialwesen,Affaires sociales
Landesamt für Gesundheit und Soziales Berlin - ZLA -,Office régional de la santé et des affaires sociales du Land de Berlin - ZLA -
Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.,"Pour que votre dossier puisse être traité, il est nécessaire que vous répondiez à toutes les questions. Vous trouverez les bases juridiques servant au recueil des données dans la fiche explicative ci-jointe."
Antrag auf,Demande
Sozialhilfe nach SGB XII,d'aide sociale selon le livre XII du Code social allemand (SGB XII)
Leistungen nach AsylbLG,de prestations selon la loi sur les prestations pour demandeurs d'asile (AsylLG)
Zutreffendes bitte ankreuzen und ausfüllen,Veuillez cocher la case correspondante et remplir les champs
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","Si vous manquez de place, veuillez porter vos informations

- dans la case XI de la demande ou

- sur une feuille séparée"
Art der Hilfe,Nature de l'aide
innerhalb einer Einrichtung,au sein d'un établissement
außerhalb einer Einrichtung,hors d'un établissement
Antragsteller/in (Personenziffer 1),Demandeur/euse (personne numéro 1)
Ehegatte/Lebenspartner/in (Personenziffer 2),Époux/épouse ou concubin/e (personne numéro 2)
"Name, ggf. Geburtsname, Vorname","Nom, le cas échéant nom de naissance (=nom de jeune fille), prénom"
Geburtsdatum,date de naissance
Geburtsort/Kreis/Land,Lieu de naissance/district/pays
männl.,masculin
weibl.,féminin
nicht im gemeinsamen Haushalt,ne vivant pas dans le foyer familial commun
keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen,pas d'autres informations sur cette page; remplir uniquement le formulaire 1 lettre A
im gemeinsamen Haushalt,vivant dans le foyer familial commun
minderjährig,mineur/e
Bitte Anlage 1 Buchstabe B ausfüllen,Veuillez remplir le formulaire 1 lettre B
Familienstand,État civil
ledig,célibataire
eheähnliche Gemeinschaft,union libre (comparable au mariage; concubinage)
eingetragene Lebenspartnerschaft,partenariat enregistré
verheiratet,marié-e
dauernd getrennt lebend,séparé-e durablement
geschieden,divorcé-e
verwitwet,veuf/veuve
Seit,Depuis
bitte Anlage 1 Buchstabe A ausfüllen,veuillez remplir le formulaire 1 lettre A
Staatsangehörigkeit,Nationalité
deutsch,allemande
bitte Anlage 2 ausfüllen,veuillez remplir le formulaire 2
Personaldokument bitte vorlegen,Veuillez présenter votre pièce d'identité
ausgestellt von (Dienststelle),délivrée par (nom de l'autorité)
gültig bis,valable jusqu’au
bisher keine Leistungen erhalten,n'a reçu aucune prestation à ce jour
bereits Leistungen erhalten,a déjà reçu des prestations
bis,au
von (Dienststelle),de (nom de l'autorité)
Geschäftszeichen,référence
es besteht eine Betreuung nach dem Betreuungsgesetz,bénéficie d'une tutelle ou curatelle selon la loi sur les tutelles
es besteht Beistandschaft,bénéficie d'une curatelle
bitte Bestallung beifügen,veuillez joindre l'avis de nomination du tuteur/curateur
Heimatvertriebene/r (Aussiedler/in) - Ausweis A -,Expatrié-e (rapatrié-e) - carte A -
Vertriebene/r (Aussiedler/in) - Ausweis B -,Expatrié-e (rapatrié-e) - carte B -
Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes,Rapatrié-e tardif/tardive - certificat (selon le § 15 al. 1 de la loi fédérale sur les expatriés BVFG) et billet d'enregistrement de l'Office fédéral de l'administration
Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes,Conjoint-e ou descendant-e d'un-e rapatrié-e tardif/tardive - certificat (selon le § 15 al. 2 de la loi fédérale sur les expatriés BVFG) et billet d'enregistrement de l'Office fédéral de l'administration
Sowjetzonenflüchtling - Ausweis C -,Réfugié-e de la zone soviétique – carte C -
ausgestellt am,délivrée le
Schwerbehindertenausweis (Kopie des Ausweises beifügen),carte de grand invalide (joindre une photocopie de la carte)
"Merkzeichen (G, aG)","tampon (G, aG)"
Antrag gestellt?,Une demande a-t-elle été déposée?
Ja,Oui
Nein,Non
Sozialversicherung,Assurance sociale
keine (Begründung auf Seite 4 -XI-),aucune (justification page 4 -XI-)
Rentenversicherung,assurance retraite
Pflegeversicherung,assurance dépendance (assurance vieillesse)
Krankenversichert bei,Assuré-e maladie auprès de
Rentenversichert bei,Assuré-e pour la retraite auprès de
Rentenversicherungsnummer,Numéro d'assurance retraite
Krankenversicherung:,Assurance maladie:
Pflichtversicherung,assurance obligatoire
Freiwillige Versicherung,assurance volontaire
Familienversicherung *,assurance famille *
Private Versicherung,assurance privée
Betreuung der Krankenkassen nach § 264 SGB V,prise en charge des assurances maladies en vertu du § 264 du livre V du Code social allemand (SGB V)
Umfang bzw. Ausschluss der Erwerbsfähigkeit,Étendue ou exclusion de la capacité à exercer une activité professionnelle
Personenziffer 1,Personne numéro 1
Personenziffer 2,personne numéro 2
Sind Sie zurzeit erwerbstätig?,Exercez-vous actuellement une activité professionnelle?
Tätigkeit:,Activité:
Arbeitgeber:,Employeur:
Umfang der Erwerbsfähigkeit,Étendue de la capacité à exercer une activité professionnelle
Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,Pensez-vous être en mesure d'exercer une activité professionnelle **au moins trois heures par jour** sur le marché ordinaire de l'emploi?
"Nein, weil","Non, parce que"
Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,Pensez-vous qu'il/elle soit en mesure d'exercer une activité professionnelle **au moins trois heures par jour** sur le marché ordinaire de l'emploi?
Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente),Avez-vous une incapacité de travail totale selon le § 43 al. 2 du livre VI du Code social allemand (SGB VI) validée par une expertise? (rente UE)
unbefristet:,illimitée:
für welchen Zeitraum?,pour quelle période?
Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?,"Êtes-vous en situation de dépendance au sens du livre XI du Code social allemand (SGB XI), loi sur la dépendance ?"
Stufe:,Niveau de dépendance:
Auszubildender/Student - auch in Schulausbildung -,Personne en formation/étudiant-e – y compris personne scolarisée –
"Ja, in Ausbildung / Studium als","Oui, en formation / études de"
Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule,Nom et adresse de l'employeur actuel ou nom de l'école
Unterbringung in einer stationären Einrichtung,Hébergement dans un établissement stationnaire
"Ja, Zuweisung","Oui, affectation"
vom,du
Wenn Ja: Bitte legen Sie entsprechende Unterlagen vor.,Si oui: veuillez joindre les documents correspondants.
"\* **Wichtige Hinweise:** Wenn Sie oder Ihr Partner/Ihre Partnerin **das 23. Lebensjahr noch nicht vollendet haben**, können Sie oder Ihr Partner/Ihre Partnerin bei einem Elternteil **familienversichert** werden. Wenn Sie oder Ihr Partner/Ihre Partnerin von Ihrem Ehegatten/eingetragenen Lebenspartner **getrennt** leben, ist zu prüfen, ob Sie dennoch über diesen **familienversichert** werden können.","\* **Remarques importantes:** si vous ou votre concubin/e **n'avez pas atteint 23 ans révolus**, vous ou votre concubin-e pouvez être assuré-e par un de vos parents au titre de **l'assurance famille**. Si vous ou votre concubin/e vivez **séparé-e** de votre époux/épouse, il convient de vérifier si vous pouvez néanmoins bénéficier d'une **assurance famille** par votre conjoint."
Haben Sie Leistungen nach dem SGB II beantragt?,Avez-vous fait une demande de prestations selon le livre II du Code social allemand (SGB II)?
Nachweis bzw. Bewilligungs- oder Ablehnungsbescheid vorlegen,Joindre le justificatif ou la décision d'acceptation ou de rejet de la demande
Kunden-Nr. der Agentur für Arbeit (falls vorhanden),Numéro de client de l'Agence pour l'emploi (le cas échéant)
**\- Nicht vom Antragsteller ausfüllen/Vermerk der Behörde**,**\- Ligne réservée à l'administration**
Mögliche Ausschlussgründe für die Hilfe zum Lebensunterhalt,Raisons possibles d'exclusion de l'aide à la subsistance
Bankverbindung,Coordonnées bancaires
Geldinstitut,Institution bancaire
Bankleitzahl,Code bancaire
Kontonummer,Numéro du compte
Kontoinhaber/in,Titulaire du compte
IBAN,IBAN
BIC,BIC
Aufenthalt,Séjour
Anschrift,Adresse
Lage der Wohnung/Etage,Situation de l'appartement/étage
Telefonnummer (freiwillige Angabe),Numéro de téléphone (mention non obligatoire)
in Berlin seit,à Berlin depuis
im Bezirk seit,dans l'arrondissement depuis
zuletzt wohnhaft,dernier lieu de résidence
Unterkunft,Logement
