Bezirksamt,Районное управление
Charlottenburg-Wilmersdorf von Berlin,Шарлоттенбург-Вильмерсдорф в Берлине
Friedrichshain-Kreuzberg von Berlin,Фридрихсхайн-Кройцберг в Берлине
Lichtenberg von Berlin,Лихтенберг в Берлине
Marzahn-Hellersdorf von Berlin,Марцан-Хеллерсдорф в Берлине
Mitte von Berlin,Митте в Берлине
Neukölln von Berlin,Нойкёльн в Берлине
Pankow von Berlin,Панков в Берлине
Reinickendorf von Berlin,Райниккендорф в Берлине
Spandau von Berlin,Шпандау в Берлине
Steglitz-Zehlendorf von Berlin,Штеглиц-Целендорф в Берлине
Tempelhof-Schöneberg von Berlin,Темпельхоф-Шёнеберг в Берлине
Treptow-Köpenick von Berlin,Трептов-Кёпеник в Берлине
Geschäftsbereich,круг деятельности
Sozialwesen,социальное обеспечение
Landesamt für Gesundheit und Soziales Berlin - ZLA -,Земельное ведомство по делам здравоохранения и социального обеспечения - ЦЛА [центральное учреждение для соискателей статуса беженца]
Die Beantwortung aller Fragen ist für die Bearbeitung Ihres Antrags notwendig. Die gesetzlichen Grundlagen für die Erhebung der Daten entnehmen Sie bitte dem beigefügten Merkblatt.,Ответы на все вопросы необходимы для рассмотрения вашего заявления. Законные основания сбора данных вы можете найти в прилагаемой инструкции.
Antrag auf,Заявление о
Sozialhilfe nach SGB XII,социальная помощь по СГБ XII
Leistungen nach AsylbLG,"пособие по AsylbLG [закону о предоставлении социальной помощи лицам, претендующим на убещице]"
Zutreffendes bitte ankreuzen und ausfüllen,"Пожалуйста, отметите крестиком и заполните нужное"
"Sofern der vorgegebene Raum nicht ausreicht, machen Sie bitte Ihre Angaben

- unter XI des Antrages oder

- auf einem gesonderten Blatt","Если место не хватает, пожалуйста, даете сведения:

- нихе XI этой заявки или

- на дополнительном листе"
Art der Hilfe,вид помощи
innerhalb einer Einrichtung,в пределах учреждения
außerhalb einer Einrichtung,за пределами учреждения
Antragsteller/in (Personenziffer 1),заявитель (личный номер 1)
Ehegatte/Lebenspartner/in (Personenziffer 2),супруг/а (личный номер 2)
"Name, ggf. Geburtsname, Vorname","фамилия, при необходимости, фамилия при рождении, имя"
Geburtsdatum,дата рождения
Geburtsort/Kreis/Land,место рождения
männl.,мужской
weibl.,женский
nicht im gemeinsamen Haushalt,не в совместном проживании
keine weiteren Angaben auf dieser Seite; nur Anlage 1 Buchstabe A ausfüllen,"на этой странице далее нет сведений, заполните только приложение 1, буква А"
im gemeinsamen Haushalt,в совместом проживании
minderjährig,несовершеннолетний
Bitte Anlage 1 Buchstabe B ausfüllen,заполните приложение 1 буква В
Familienstand,семейное положение
ledig,холост/не замужем
eheähnliche Gemeinschaft,бракоподобное сожительство
eingetragene Lebenspartnerschaft,зарегистрированное гражданское партнёрство
verheiratet,женат/замужем
dauernd getrennt lebend,раздельное проживание
geschieden,расведен/а
verwitwet,вдовец/вдова
Seit,с
bitte Anlage 1 Buchstabe A ausfüllen,заполните приложение 1 буква А
Staatsangehörigkeit,гражданство
deutsch,немецкое
bitte Anlage 2 ausfüllen,заполните приложение 2
Personaldokument bitte vorlegen,"предоставьте, пожалуйста, удостоверение личности"
ausgestellt von (Dienststelle),выдан каким ведомством?
gültig bis,действителен до
bisher keine Leistungen erhalten,действителен до
bereits Leistungen erhalten,уже получили пособия
bis,до
von (Dienststelle),от (учреждения)
Geschäftszeichen,номер документа
es besteht eine Betreuung nach dem Betreuungsgesetz,есть попечение по закону попечения
es besteht Beistandschaft,есть опекунство
bitte Bestallung beifügen,"прилагаете, пожалуйста, назначение опекуном"
Heimatvertriebene/r (Aussiedler/in) - Ausweis A -,изгнанный с родины - удостоверение А [это относится к немецким беженцам после второй мировой войны]
Vertriebene/r (Aussiedler/in) - Ausweis B -,изгнанный - удостоверение В [это относится к немецким беженцам после второй мировой войны]
Spätaussiedler/in - Bescheinigung (nach § 15 Abs. 1 BVFG) und Registrierschein des Bundesverwaltungsamtes,поздний переселенец - удостоверение (в соответствии с § 15 абзац 1 BVFG [Закон о делах перемещённых лиц и беженцев]) и регистрационная справка Федерального административного ведомства
Ehegatte oder Abkömmling eines Spätaussiedlers / einer Spätaussiedlerin - Bescheinigung (nach § 15 Abs. 2 BFVG) und Registrierschein des Bundesverwaltungsamtes,супруг/а или потомок позднего переселенца - удостоверение (в соответствии с § 15 абзац 1 BVFG [Закон о делах перемещённых лиц и беженцев]) и регистрационная справка Федерального административного ведомства
Sowjetzonenflüchtling - Ausweis C -,беженец из советской зоны - удостоверение C [это относится к немецким беженцам после второй мировой войны]
ausgestellt am,дата выдачи
Schwerbehindertenausweis (Kopie des Ausweises beifügen),удостоверение инвалида
"Merkzeichen (G, aG)","пометка (G, aG)"
Antrag gestellt?,заявление подано?
Ja,да
Nein,нет
Sozialversicherung,социальное страхование
keine (Begründung auf Seite 4 -XI-),нет страхования (обоснование на странице 4 -XI-)
Rentenversicherung,пенсионное страхование
Pflegeversicherung,страхование на случай потребности в уходе
Krankenversichert bei,застрахованный/-ая (страхование на случай болезни) чьей компанией?
Rentenversichert bei,застрахованный/-ая (пенсионное страхование) чьей компанией?
Rentenversicherungsnummer,номер пенсионного страхования
Krankenversicherung:,страхование на случай болезни
Pflichtversicherung,обязательное страхование
Freiwillige Versicherung,добровольное страхование
Familienversicherung *,семейное страхование *
Private Versicherung,личное страхование
Betreuung der Krankenkassen nach § 264 SGB V,"уход больничных касс в соответствии с § 264 SGB V (кодекс социального права, часть 5)"
Umfang bzw. Ausschluss der Erwerbsfähigkeit,обьём или исключение трудовой деятельности
Personenziffer 1,личный номер 1
Personenziffer 2,личный номер 2
Sind Sie zurzeit erwerbstätig?,Вы в настоящий момент работаете?
Tätigkeit:,профессия:
Arbeitgeber:,работодатель:
Umfang der Erwerbsfähigkeit,обьём трудовой деятельности
Können Sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,Вы - в Вашей оценке - можете работать на общей рынке труда **как минимум 3 часа ежеднквно**?
"Nein, weil","нет, потому что"
Kann er/sie – Ihrer Einschätzung nach – **mindestens drei Stunden täglich** einer Erwerbstätigkeit auf dem allgemeinen Arbeitsmarkt nachgehen?,Он/Она - в Вашей оценке - может работать на общей рынке труда **как минимум 3 часа ежеднквно**?
Liegt bei Ihnen eine bereits begutachtete volle Erwerbsminderung nach § 43 Abs. 2 SGB VI vor? (EU-Rente),У вас имеется уже подтверждённая полная потеря трудоспособности в соответствии с § 43 абзац 2 SGB [кодекс социального права]? (ЕС-пенсия [пенсия Европейского союза])
unbefristet:,бессрочный:
für welchen Zeitraum?,за какой период?
Sind Sie pflegebedürftig im Sinne des SGB XI Pflegeversicherungsgesetz?,"Вы нуждающийся/-аяся в уходе в соответствии с SGB XI [кодекс социального права, часть 11], закон о страховании в случай потребности в уходе"
Stufe:,уровень:
Auszubildender/Student - auch in Schulausbildung -,ученик/студент - даже в школе -
"Ja, in Ausbildung / Studium als","да, обучающийся/-аяся чему"
Name und Anschrift des derzeitigen Arbeitgebers bzw. Angabe der Schule,"фамилия, имя и адрес текущего работодателя или название и адрес школы"
Unterbringung in einer stationären Einrichtung,помещение в статионар
"Ja, Zuweisung","да, направление"
vom,с
Wenn Ja: Bitte legen Sie entsprechende Unterlagen vor.,"Если да: Прилагаете, пожалуйста, соответсвенные документы"
"\* **Wichtige Hinweise:** Wenn Sie oder Ihr Partner/Ihre Partnerin **das 23. Lebensjahr noch nicht vollendet haben**, können Sie oder Ihr Partner/Ihre Partnerin bei einem Elternteil **familienversichert** werden. Wenn Sie oder Ihr Partner/Ihre Partnerin von Ihrem Ehegatten/eingetragenen Lebenspartner **getrennt** leben, ist zu prüfen, ob Sie dennoch über diesen **familienversichert** werden können.","\* **Важная информация:** Если Вы или Ваш(а) супруг(а) **ещё не достигнули возраста 23 года**, Вы или Ваш(а) супруг(а) можете застраховаться **совместно** у одого из родителей. Если Вы или Ваш(а) супруг(а) живете **отдельно** от супруга/супругой/гражданского партнёра, надо проверять, можете ли застраховаться **совместно [семейное страховане]**."
Haben Sie Leistungen nach dem SGB II beantragt?,"Вы подали заявление о пособиях в соответствии с SGB II (кодекс социального права, часть 2)?"
Nachweis bzw. Bewilligungs- oder Ablehnungsbescheid vorlegen,Приложите подтверждение или решение о согласии/об отказе
Kunden-Nr. der Agentur für Arbeit (falls vorhanden),идентификационный номер агенства занятости (если есть)
**\- Nicht vom Antragsteller ausfüllen/Vermerk der Behörde**,**\- не заполнаете/отмека ведомства**
Mögliche Ausschlussgründe für die Hilfe zum Lebensunterhalt,возможные причины отказа в пособии по поддержанию жизни
Bankverbindung,банковские реквизиты
Geldinstitut,банковское учреждение
Bankleitzahl,код банка
Kontonummer,номер банковского счёта
Kontoinhaber/in,владелец счёта
IBAN,ИБАН (международный номер банковского счёта)
BIC,БИК (банковский идентификационный код)
Aufenthalt,проживание
Anschrift,адрес
Lage der Wohnung/Etage,местоположение квартиры/этаж
Telefonnummer (freiwillige Angabe),номер телефона (добровольно)
in Berlin seit,в Берлине с
im Bezirk seit,в округ с
zuletzt wohnhaft,последнее место проживания
Unterkunft,жилье
Mietwohnung,снимаемая квартира
Hauptmieter/in,основной съёмщик
Untermieter/in,субкватнрант
Name und Anschrift des Vermieters,"фамилия, имя и адрес квартиросдачика"
Name des Hauptmieters,фамилия и имя основного съёмщика
Eigenheim,собственный дом
Eigentumswohnung,частная квартира
verwandt,родственный
Wirtschaftsgemeinschaft,хозяйственное объединеине
"Bitte Anlage 3 ausfüllen, dann weiter bei V.2","заполните, пожалуйста, приложение 3, потом дальше в V.2"
Miete insgesamt (EUR/mtl.),квартирная плата в целом (евро/месяц)
Warmwasserkosten,расходы на теплую воду
(EUR/mtl.),(евро/месяц)
Heizkostenvorschuss (EUR/mtl.),аванс расходов на отопление (евро/месяц)
Kabelfernsehen (EUR/mtl.),кабельное телевидение (евро/месяц)
Miete bezahlt bis,квартирная плата заплачена до
Bitte Nachweis beifügen,"приложите, пожалуйста, удостоверение"
Mietrückstände (von/bis/EUR),задолженность по квартирной плате (с/до/евро)
Gekündigt zum,договор найма расторгнут к
Bitte Anlage 6 ausfüllen,"заполните, пожалуйста, приложение 6"
Größe der Unterkunft des Antragstellers,размер жилья заявителя
Anzahl der Zimmer ohne Küche/Bad,количество комнат без кухни/ванной
Gesamtwohnfläche (m2),совокупная жилая площадь (м2)
Wohngeld wird gezahlt,получаю пособие на оплату квартиры (Wohngeld)
Wohngeld wird nicht gezahlt,не получаю пособия на оплату квартиры
Bitte Bescheid beifügen,"приложите, пожалуйста, справку"
Heizungsart/Warmwasser,способ отопления/горячая вода
Sammelheizung,центральное отопление
Zentrale Warmwasserversorgung,горячее водоснабжение с централизованным приготовлением горячей воды
Ofenheizung,печное отопление
Gasheizung,газовое отопление
Nachtstromspeicherheizung,электрическое отопление с ночным теплоаккумулированием
Wohnraum wird untervermietet,жилая площадь в субаренду
Wohnraum kann untervermietet werden,жилая площадь можно сдать в субаренду
Wohnraum kann nicht untervermietet werden,жилую площадь нельзя сдать в субаренду
Zahl vermieteter Leerzimmer,"колчество комнат без мебели, сданных в аренду"
Miete (EUR/mtl.),квартирная плата (евро/месяц)
Zahl vermieteter möblierter Zimmer,"колчество меблированных комнат, сданных в аренду"
Grund,земля
Ich/Wir habe/n freies Wohnrecht bei:,У меня/У нас право свободного жительства у:
Name:,фамилия
"Wenn Sie in einer stationären Einrichtung (z. B. Heim, Betreute Wohngemeinschaft, Krankenhaus) leben: **Wo haben Sie vorher gewohnt** (gewöhnlicher Aufenthaltsort)?","Если Вы живете в статионаре (например в инвалидном доме, сопровождаемом проживании, больнице): **Где Вы жили раньше?** (обычное местопребывание)"
Anschrift der Wohnung **vor der Aufnahme** in die Einrichtung,адрес **до приёма** в статионар
Persönliche Verhältnisse der mit dem Antragsteller/der Antragstellerin in einem Haushalt lebenden weiteren Personen,"личное положение лиц, проживающих вместе с заявителем"
Leben weitere Personen im gemeinsamen Haushalt?,Вы проживаете вместе с другими лицами?
"**Wenn Ja, tragen Sie bitte die weiteren Personen in der Reihenfolge des Geburtsdatums ein.**","**Если ""да"", пожалуйста, заносите в список эти другие лица в порядке даты рождения**"
Bei vier oder mehr Personen bitte **Zusatzblatt** verwenden.,"Если 4 или более лиц, пожалуйста, используетесь **дополнительны лист**"
Personenziffer 3,личный номер 3
Personenziffer 4,личный номер 4
Personenziffer 5,личный номер 5
Name (ggf. Geburtsname),"фамилия, при необходимости, фамилия при рождении, имя"
Vorname,имя
Verwandtschaftsverhältnis zum/zur Antragsteller/in / Partner/in,степень родства с заявителем
Geschlecht,пол
weiblich,женский
männlich,мужской
Geburtsort,место рождения
seit,с
andere,другое
"(sofern bereits eine Arbeitsgenehmigung erteilt wurde, bitte beifügen)","(если разрешение на работу уже выдано, пожалуйста, приложите его)"
Erwerbsfähigkeit (Angabe nur ab vollendetem 15. Lebensjahr erforderlich),трудноспособность (информация требуется только при достижении возраста 15 лет)
Haben die o.g. Personen Leistungen nach dem SGB II beantragt?,"Подали вышеуказанные лица заявление о пособиях в соответствии с SGB II [кодекс социального права, часть 2]?"
"Unterhaltspflichtige Angehörige außerhalb des Haushalts (Kinder, Eltern)","родственники на содержании, которые не живут вместе с вами (дети, родители)"
"Geburtstag, bzw. Alter","дата рождения, возраст"
Verwandtschaftsverhältnis zum Antragsteller,степень родства с заявителем
ausgeübte Tätigkeit,осуществляемая деятельность
Art und Höhe des Unterhaltsbeitrages,вид и размер содержания
Einkünfte aller Haushaltsangehörigen,доходы всех лиц совместного домохозяйства
Beträge (EUR) und Angabe des Zeitraumes (mtl./wöchentl./tgl.),"сумма (евро) и период (ежемесячно, еженедельно, ежедневно)."
Bitte Nachweise beifügen,"Пожалуйста, прилагете подтверждении."
Bezeichnung,обозначение
Bewilligungsstelle,учреждение предоставления
"Geschäftszeichen, Rentenabrechnungsnummer, o. ä.","номер документа, номер удержания пенсии и т.д."
Nichtselbständige Tätigkeit,наёмный труд
"(Erwerbseinkommen, Ausbildungsvergütung, Entgelt der Werkstatt für behinderte Menschen)","(трудовой доход, оплата труда в период профессионального обучения, оплата мастерской для инвалидов)"
Leistungen der Krankenkasse,пособия больничной кассы
(einschl. Arbeitgeberzuschuss),(включая прибавка работодателя)
Gewerbebetrieb,коммерческое предприятие
Land- und Forstwirtschaft,селько- и лесохозяйство
Sonstige selbständige Tätigkeiten,прочие самостоятельные виды работы
Vermietung und Verpachtung,доходы от аренды
Wohngeld/Lastenzuschuss,"субсидия для оплаты квартиры/пособия, выдаваемые собственнику дома"
Renten/Pensionen,пенсии
"(z. B. Rente wg. Erwerbsminderung, Altersrente, Unfallrente, landwirtschaftliches Altersgeld, Witwen- oder Waisenrente, Erziehungsrente, Kinderzuschuss /-zulage, Pflegegeld zur Rente, Werksrente, Kindererziehungsleistung, Sonstige Renten / Pensionen)","(например пенсия по инвалидности, пенсия по старости, пенсия по инвалидности вследствие увечья на производстве, селькохозяйственная пенсия по старости, вдовья пенсия, пенсия, выплачиваемая детям застрахованных лиц после смерти родителей, пенсия по опекунскому страхованию, надбавка к пенисии на детей, пособие по уходу больным к пенсии, трудовая пенсия, пособие по воспитание детей, прочие пенсии)"
Sozialhilfeleistungen,пособия социальной помощи
Grundsicherungsleistungen,пособия базового обеспечения
Asylbewerberleistung,"социальная помощь лицам, претендующим на убежище"
Leistungen nach dem Bundesversorgungsgesetz,пособия по закону о военных обязательствах
Leistungen des Lastenausgleichsamtes,"пособия по закону о компенсации ущерба, причинённого войной"
"(z. B. Unterhaltshilfe, Pflegegeld, Entschädigungsrente)","(например пособие на алименты, пособие по уходу за больным, пенсия по компенсации)"
Leistungen der Agentur für Arbeit,пособия агенства занятости
"(z. B. Arbeitslosengeld, Arbeitslosengeld II, Eingliederungshilfe, Berufsausbildungsbeihilfe, Arbeitsförderungsgeld u. a.)","(например пособие по безработице [ALG], пособие по безработице II [ALG II], пособие помощи вернувшимся из заключения в устройстве на работу, пособие на профессиональное обучение, пособие стимулирования занятости и другие)"
Kindergeld,пособие на ребёнка
Kindergeldzuschlag,надбавка к пенсии на детей
Elterngeld,родительское пособие
Ausbildungsförderung,сокращение срока обучения
Unterhalt,алименты
Unterhaltsvorschuss,алиментный аванс
