"Einkommenserklärung","Ein Formular, wo Sie schreiben, wie viel Geld Sie mit Ihrer Arbeit verdienen."
"Anlage zum Antrag auf eine(n)","Ein weiteres Formular, das Sie dazulegen müssen zum Antrag auf "
"Wohnberechtigungsschein (WBS)","Ein Papier, wo das Bürgeramt schreibt, dass Sie in einer Sozialwohnung wohnen dürfen."
"Mietzuschuss für den **Sozialen Wohnungsbau** nach WoG Bln","Finanzielle Hilfe, mit der Sie eine Sozialwohnung mieten können (nach dem Wohnraumgesetz (""WoG Bln"") für den **Sozialen Wohnungsbau**)"
"Einkommensbescheinigung nach § 9 Abs. 2 WoFG","Ein Papier, wo steht, wieviel Sie verdienen. Sie dürfen nicht mehr als XXX Euro im Jahr (nach dem Gesetz § 9 Abs. 2 WoFG) verdienen."
"Bescheinigung nach der RLvF","Ein Papier, wo das Wohnungsamt schreibt, das Sie in einer RLvF-Wohnung wohnen dürfen."
"Genehmigung zur Selbstnutzung nach § 7 Abs. 3 WoBindG i.V.m.  § 27 Abs. 7 Nr. 1 WoFG","Sie dürfen das Papier selbst benutzen, wie es die Gesetze ""§ 7 Abs. 3 WoBindG"" und ""§ 27 Abs. 7 Nr. 1 WoFG"" beschreiben."
"Dieser Vordruck ist *jeweils* vom Antragsteller und von jedem *Haushaltsangehörigen* auszufüllen!","Sie müssen dieses Formular ausfüllen. Und *jeder Mensch*, der zusammen mit Ihnen in Ihrer Wohung  wohnt, muss *je ein weiteres* Formular ausfüllen."
"Wichtig:","Wichtig:"
"Die Nummern 1.1 - 4.3 und 7 sind mit ja oder nein zu beantworten!","Bei den Nummern 1.1 bis 4.3 und der Nummer 7 antworten Sie bitte nur mit ""ja"" oder ""nein"". "
"für","für"
"Name, Vorname, Anschrift","Name, Vorname, Adresse"
"Name, Vorname des Antragstellers"," Nachname, Vorname von Ihnen"
"Bitte Erläuterungen auf Seite 3 beachten !","Bitte lesen Sie die Informationen auf Seite 3!"
"Bitte Nachweise (Kopien) beifügen !","Legen Sie bitte Kopien von den Papieren dazu, wo steht, dass richtig ist, was Sie schreiben."
"letzte 12 Monate vor Antragstellung","in den letzten 12 Monaten"
"im Monat der Antragstellung","in diesem Monat"
"Nein","Nein"
"Ja","Ja"
"Betrag:","Wie viel Geld:"
"Ich bezog bzw. beziehe","Sie haben folgendes Geld bekommen / Sie bekommen folgendes Geld"
"Einnahmen aus nichtselbstständiger Arbeit (Brutto) (auch Minijob oder geringfügige Tätigkeit)","Arbeiten Sie für einen Arbeitgeber? Wie viel Geld verdienen Sie? (gesamtes Einkommen, auch Minijob oder Midijob) "
"Einnahmen aus Pensionen und/oder Firmenrenten (Brutto)","(Gesamtes) Einkommen aus Pensionen und Firmenrenten"
"Einnahmen aus Renten (z.B. LVA, BfA, BVG) (Brutto)","(Gesamtes) Einkommen aus Renten (zum Beispiel LVA, BfA, BVG)"
"Einnahmen aus Lohnersatzleistungen, z.B. Arbeitslosengeld, Krankengeld, Elterngeld","Wie viel Geld haben Sie bekommen als Ersatz für einen Lohn? (Zum Beispiel Arbeitslosengeld, Krankengeld, Elterngeld)"
"Einnahmen aus BAFöG, Berufsausbildungsbeihilfe nach AFG, Begabtenförderung o.ä.","Wie viel Geld bekommen Sie vom Staat für Ihre Ausbildung? (Zum Beispiel BAFöG, Berufsausbildungs-Beihilfe, Begabten-Förderung)"
"Leistungen nach dem Unterhaltsvorschussgesetz, aus gesetzlichem Unterhalt","Wie viel Geld haben Sie vom Staat bekommen, weil jemand, der Ihnen Geld zum Leben geben muss, Ihnen kein Geld gegeben hat?"
"andere Einnahmen / Einkünfte / Sachleistungen","Anderes Geld oder andere Sachen, die Sie als Hilfe bekommen"
"Einnahmen aus Kapitalvermögen - insgesamt -","Wie viel Geld haben Sie bekommen, weil Sie Geld (Kapital) investiert haben? (Zum Beispiel Zinsen)"
"- ohne Abzug des Betrages von 100 EUR i.S. des § 21 Abs. 2 Nr. 3.1 WoFG","- Ziehen Sie von diesem Geld nicht 100 Euro ab (nach dem Gesetz ""§ 21 Abs. 2 Nr. 3.1 WoFG"")"
"- ohne Absetzung des Sparer-Pauschbetrags - (z.B. Zinsen aus Sparguthaben, Wertpapieren)","- ziehen Sie nicht die Geldsumme ab, die Sparer abziehen dürfen. Schreiben Sie hier zum Beispiel, wie viel Zinsen Sie mit Ihrem Sparbuch oder mit Aktien verdient haben."
"Betrag im Jahr vor Antragstellung","Wie viel Geld war das letztes Jahr?"
"Einkünfte aus selbstständiger Arbeit","Sind Sie Ihr eigener Chef? Wie viel Geld verdienen Sie? "
"Einkünfte aus Gewerbebetrieb","Einkommen aus einem Gewerbebetrieb (zum Beispiel eine Handwerker-Firma, ein Laden haben)"
"Einkünfte aus Land und Forstwirtschaft","Einkommen aus Landwirtschaft oder Forstwirtschaft"
"Einkünfte aus Vermietung und Verpachtung","Vermieten Sie eine Immobilie? Dann schreiben Sie auf, wie viel Miete Sie bekommen."
"Ich mache anerkannte erhöhte Werbungskosten geltend (Bescheid/Bescheinigung vom Finanzamt)","Sie haben für Ihre Arbeit viel Geld ausgegeben. Das hat das Finanzamt anerkannt. Bitte schreiben Sie, wie viel Geld das war, und geben Sie eine Kopie von dem Papier vom Finanzamt ab."
"Ich mache Kinderbetreuungskosten i.S. des § 10 Abs. 1 Nr. 5 i.V. mit § 2 Abs. 5a EStG geltend, und zwar für den","Haben Sie Geld für die Betreuung von Kindern ausgeben? (nach dem Gesetz ""§ 10 Abs. 1 Nr. 5 i.V."" und ""§ 2 Abs. 5a EStG"")"
"Zeitraum vom","In der Zeit vom "
"bis voraussichtlich","bis wahrscheinlich"
"Es wurden oder werden Kinderbetreuungskosten i.S. des § 10 Abs. 1 Nr. 5 i.V. mit § 2 Abs. 5a EStG von Dritten übernommen oder haben Sie einen Antrag auf Übernahme gestellt ?","Hat Ihnen ein anderes Amt für die Betreuung von Kindern Geld gegeben oder gibt Ihnen ein anderes Amt Geld dafür? Haben Sie einen Antrag dafür gestellt? (nach dem Gesetz ""§ 10 Abs. 1 Nr. 5 i.V."" und ""§ 2 Abs. 5a EStG"")"
"Ggf. Angabe des Leistungsträgers :","Welches Amt?"
"Ich mache die Berücksichtigung folgender Beträge geltend, die ich als gesetzlichen Unterhalt gezahlt habe bzw. bezahle für","Haben Sie Geld zum Leben an Menschen aus Ihrer Familie gezahlt? Sie möchten, dass das Amt diese Zahlungen berücksichtigt. Sie haben Geld gezahlt an"
"meine(n) geschiedene(n) oder dauernd getrennt lebende(n) Ehegatten / Ehegattin.","Ihren geschiedenen oder dauernd getrennt lebenden Ehegatten / Ihre geschiedene oder dauernd getrennt lebende Ehegattin. "
"Name:","Name:"
"Geburtsdatum:","Geburtsdatum (Wann ist die Person geboren?)"
"Unterhaltspflichtig bis:","Sie müssen an Ihren Mann / an Ihre Frau Geld zahlen bis:"
"zum Haushalt rechnende auswärts untergebrachte Familienmitglieder.","Mitglieder Ihrer Familie, die zu Ihrem Haushalt gehören, aber nicht mit Ihnen zusammen leben."
"Verwandtschaftsverhältnis:","Schreiben Sie hier, wie diese Personen mit Ihnen verwandt sind."
"nicht zum Haushalt rechnende Familienmitglieder.","Mitglieder Ihrer Familie, die nicht zu Ihrem Haushalt gehören."
"Ich erhalte Kindergeld für folgende Kinder, die das 18. Lebensjahr vollendet haben:","Für welche Kinder über 18 Jahre bekommen Sie Kindergeld? Schreiben Sie die Namen der Kinder auf!"
"Bitte aktuelle Nachweise beifügen.","Bitte legen Sie Kopien von den Papieren dazu, die zeigen, dass das richtig ist."
"Ich habe bzw. hatte keine Einnahmen / Einkünfte / Leistungen aus folgendem Grund: (z.B. Hausfrau / Hausmann)","Sie haben nichts verdient oder verdienen. Warum? (Zum Beispiel: Sie sind Hausmann oder Hausfrau.)"
"von","von"
"bis","bis"
"Ich entrichte Steuern vom Einkommen","Sie zahlen Steuern auf das Geld, das Sie verdienen."
"ja","ja"
"nein","nein"
"Ich entrichte Beiträge zur Krankenversicherung","Sie zahlen Geld an die Kranken-Versicherung."
"Pflichtbeiträge","Geld, das Sie an die Kranken-Versicherung zahlen müssen."
"freiwillig (Nachweis erforderlich)","Geld, das Sie an die Kranken-Versicherung freiwillig zusätzlich  zahlen. (Bitte geben Sie eine Kopie von dem Papier ab, in dem steht, dass das richtig ist.)"
"Ich entrichte Beiträge zur Rentenversicherung","Sie zahlen Geld an die Rentenversicherung."
"Meine Einnahmen / Einkünfte / Leistungen werden sich in den nächsten 12 Monaten mit Sicherheit verändern:","Das Geld, das Sie verdienen oder bekommen, wird in den nächsten 12 Monaten sicherlich mehr oder weniger:"
"aus folgendem Grund:","Warum?"
"Ich hatte in den letzten drei Jahren vor Antragstellung folgende einmalige Einnahmen (z.B. Unterhalts- oder Gehaltsvorauszahlungen, Abfindungen):","Sie haben in den letzten 3 Jahren ein Mal dieses Geld bekommen (zum Beispiel Geld von Ihrem Mann / von Ihrer Frau / von Ihrem Arbeitgeber):"
"Für die umseitig im Vordruck erklärten Einnahmen / Einkünfte aus","Sie haben auf der vorherigen Seite geschrieben, wie viel Geld Sie bekommen haben durch"
"Kapitalvermögen (1.8)","das Geld, das Sie mit investiertem Geld verdient haben (1.8)."
"- außer privates Kapitalvermögen ab 01.01.2009 -","- ohne das Geld, das Sie seit dem 01.01.2009 investiert haben -"
"Selbstständiger Tätigkeit (1.9)","Ihre selbständige Arbeit (1.9)."
"Gewerbebetrieb (1.10)","Ihren Gewerbetrieb (1.10)."
"Land und Forstwirtschaft (1.11)","Landwirtschaft oder Forstwirtschaft (1.11.)."
"Vermietung und Verpachtung (1.12)","die Vermietung von einer Immobilie (1.12)."
"wurden erhöhte Absetzungen und Sonderabschreibungen abgezogen","Von diesem Geld wurde für die Berechnung Ihres Einkommens Geld abgezogen (""Absetzungen"", ""Sonderabschreibungen"")"
