"Einkommenserklärung","Einkommenserklärung"
"Anlage zum Antrag auf eine(n)","Anlage zum Antrag auf eine(n)"
"Wohnberechtigungsschein (WBS)","Wohnberechtigungsschein (WBS)"
"Mietzuschuss für den **Sozialen Wohnungsbau** nach WoG Bln","Mietzuschuss für den **Sozialen Wohnungsbau** nach WoG Bln"
"Einkommensbescheinigung nach § 9 Abs. 2 WoFG","Einkommensbescheinigung nach § 9 Abs. 2 WoFG"
"Bescheinigung nach der RLvF","Bescheinigung nach der RLvF"
"Genehmigung zur Selbstnutzung nach § 7 Abs. 3 WoBindG i.V.m.  § 27 Abs. 7 Nr. 1 WoFG","Genehmigung zur Selbstnutzung nach § 7 Abs. 3 WoBindG i.V.m.  § 27 Abs. 7 Nr. 1 WoFG"
"Dieser Vordruck ist *jeweils* vom Antragsteller und von jedem *Haushaltsangehörigen* auszufüllen!","Dieser Vordruck ist *jeweils* vom Antragsteller und von jedem *Haushaltsangehörigen* auszufüllen!"
"Wichtig:","Wichtig:"
"Die Nummern 1.1 - 4.3 und 7 sind mit ja oder nein zu beantworten!","Die Nummern 1.1 - 4.3 und 7 sind mit ja oder nein zu beantworten!"
"für","für"
"Name, Vorname, Anschrift","Name, Vorname, Anschrift"
"Name, Vorname des Antragstellers","Name, Vorname des Antragstellers"
"Bitte Erläuterungen auf Seite 3 beachten !","Bitte Erläuterungen auf Seite 3 beachten !"
"Bitte Nachweise (Kopien) beifügen !","Bitte Nachweise (Kopien) beifügen !"
"letzte 12 Monate vor Antragstellung","letzte 12 Monate vor Antragstellung"
"im Monat der Antragstellung","im Monat der Antragstellung"
"Nein","Nein"
"Ja","Ja"
"Betrag:","Betrag:"
"Ich bezog bzw. beziehe","Ich bezog bzw. beziehe"
"Einnahmen aus nichtselbstständiger Arbeit (Brutto) (auch Minijob oder geringfügige Tätigkeit)","Einnahmen aus nichtselbstständiger Arbeit (Brutto) (auch Minijob oder geringfügige Tätigkeit)"
"Einnahmen aus Pensionen und/oder Firmenrenten (Brutto)","Einnahmen aus Pensionen und/oder Firmenrenten (Brutto)"
"Einnahmen aus Renten (z.B. LVA, BfA, BVG) (Brutto)","Einnahmen aus Renten (z.B. LVA, BfA, BVG) (Brutto)"
"Einnahmen aus Lohnersatzleistungen, z.B. Arbeitslosengeld, Krankengeld, Elterngeld","Einnahmen aus Lohnersatzleistungen, z.B. Arbeitslosengeld, Krankengeld, Elterngeld"
"Einnahmen aus BAFöG, Berufsausbildungsbeihilfe nach AFG, Begabtenförderung o.ä.","Einnahmen aus BAFöG, Berufsausbildungsbeihilfe nach AFG, Begabtenförderung o.ä."
"Leistungen nach dem Unterhaltsvorschussgesetz, aus gesetzlichem Unterhalt","Leistungen nach dem Unterhaltsvorschussgesetz, aus gesetzlichem Unterhalt"
"andere Einnahmen / Einkünfte / Sachleistungen","andere Einnahmen / Einkünfte / Sachleistungen"
"Einnahmen aus Kapitalvermögen - insgesamt -","Einnahmen aus Kapitalvermögen - insgesamt -"
"- ohne Abzug des Betrages von 100 EUR i.S. des § 21 Abs. 2 Nr. 3.1 WoFG","- ohne Abzug des Betrages von 100 EUR i.S. des § 21 Abs. 2 Nr. 3.1 WoFG"
"- ohne Absetzung des Sparer-Pauschbetrags - (z.B. Zinsen aus Sparguthaben, Wertpapieren)","- ohne Absetzung des Sparer-Pauschbetrags - (z.B. Zinsen aus Sparguthaben, Wertpapieren)"
"Betrag im Jahr vor Antragstellung","Betrag im Jahr vor Antragstellung"
"Einkünfte aus selbstständiger Arbeit","Einkünfte aus selbstständiger Arbeit"
"Einkünfte aus Gewerbebetrieb","Einkünfte aus Gewerbebetrieb"
"Einkünfte aus Land und Forstwirtschaft","Einkünfte aus Land und Forstwirtschaft"
"Einkünfte aus Vermietung und Verpachtung","Einkünfte aus Vermietung und Verpachtung"
"Ich mache anerkannte erhöhte Werbungskosten geltend (Bescheid/Bescheinigung vom Finanzamt)","Ich mache anerkannte erhöhte Werbungskosten geltend (Bescheid/Bescheinigung vom Finanzamt)"
"Ich mache Kinderbetreuungskosten i.S. des § 10 Abs. 1 Nr. 5 i.V. mit § 2 Abs. 5a EStG geltend, und zwar für den","Ich mache Kinderbetreuungskosten i.S. des § 10 Abs. 1 Nr. 5 i.V. mit § 2 Abs. 5a EStG geltend, und zwar für den"
"Zeitraum vom","Zeitraum vom"
"bis voraussichtlich","bis voraussichtlich"
"Es wurden oder werden Kinderbetreuungskosten i.S. des § 10 Abs. 1 Nr. 5 i.V. mit § 2 Abs. 5a EStG von Dritten übernommen oder haben Sie einen Antrag auf Übernahme gestellt ?","Es wurden oder werden Kinderbetreuungskosten i.S. des § 10 Abs. 1 Nr. 5 i.V. mit § 2 Abs. 5a EStG von Dritten übernommen oder haben Sie einen Antrag auf Übernahme gestellt ?"
