"Einkommenserklärung","Income statement"
"Anlage zum Antrag auf eine(n)","Attachment for applying for a"
"Wohnberechtigungsschein (WBS)","Housing promotion certificate (Wohnberechtigungsschein WBS)"
"Mietzuschuss für den **Sozialen Wohnungsbau** nach WoG Bln","Rent subsidy for **subsidized housing** according to WoG Bln"
"Einkommensbescheinigung nach § 9 Abs. 2 WoFG","Income statement according to § 9 para. 2 WoFG "
"Bescheinigung nach der RLvF","Statement according to RLvF"
"Genehmigung zur Selbstnutzung nach § 7 Abs. 3 WoBindG i.V.m.  § 27 Abs. 7 Nr. 1 WoFG","Permission for self use according to § 7 para. 3 WoBindG in connection with § 27 para. 7 no. 1 WoFG "
"Dieser Vordruck ist *jeweils* vom Antragsteller und von jedem *Haushaltsangehörigen* auszufüllen!","This form must be filled out by the applicant and each *member of the household* separately. "
"Wichtig:","Important:"
"Die Nummern 1.1 - 4.3 und 7 sind mit ja oder nein zu beantworten!","Numbers 1.1 to 4.3 and 7 must be answered with yes or no. "
"für","for"
"Name, Vorname, Anschrift","surname, first name, address"
"Name, Vorname des Antragstellers","Surname, first name of the applicant"
"Bitte Erläuterungen auf Seite 3 beachten !","Please read notes on page 3 carefully! "
"Bitte Nachweise (Kopien) beifügen !","Please enclose evidence (copies)!"
"letzte 12 Monate vor Antragstellung","last 12 months prior to application "
"im Monat der Antragstellung","during month of application"
"Nein","No"
"Ja","Yes"
"Betrag:","Amount:"
"Ich bezog bzw. beziehe","I had/ have had "
"Einnahmen aus nichtselbstständiger Arbeit (Brutto) (auch Minijob oder geringfügige Tätigkeit)","income from non-freelance work (gross) (also marginal part-time job or minor activities) "
"Einnahmen aus Pensionen und/oder Firmenrenten (Brutto)","income from pensions and/or company pensions (gross) "
"Einnahmen aus Renten (z.B. LVA, BfA, BVG) (Brutto)","income from retirement pensions (e.g. LVA, BfA, BVG) (gross)"
"Einnahmen aus Lohnersatzleistungen, z.B. Arbeitslosengeld, Krankengeld, Elterngeld","Income from wage indemnification, e.g. unemployment benefits, sickness benefit, parental benefit) "
"Einnahmen aus BAFöG, Berufsausbildungsbeihilfe nach AFG, Begabtenförderung o.ä.","Income from BAFöG, vocactional training assistance according to AFG, talent program or similar "
"Leistungen nach dem Unterhaltsvorschussgesetz, aus gesetzlichem Unterhalt","Advances on maintenance payment from mandadory maintenance"
"andere Einnahmen / Einkünfte / Sachleistungen","other income/ revenue/ benefits in kind"
"Einnahmen aus Kapitalvermögen - insgesamt -","income from capital assets - in total - "
"- ohne Abzug des Betrages von 100 EUR i.S. des § 21 Abs. 2 Nr. 3.1 WoFG","without deduction of the amount 100 EUR according to § 21 para. 2 No. 3.1 WoFG"
"- ohne Absetzung des Sparer-Pauschbetrags - (z.B. Zinsen aus Sparguthaben, Wertpapieren)","-without deduction of saver's lumpsum (e.g. interest on savings, securities) "
"Betrag im Jahr vor Antragstellung","Amount from the year before application"
"Einkünfte aus selbstständiger Arbeit","Income from freelance work "
"Einkünfte aus Gewerbebetrieb","income from business enterprise"
"Einkünfte aus Land und Forstwirtschaft","income from agriculture and forestry "
"Einkünfte aus Vermietung und Verpachtung","income from the letting or leasing of real estate"
"Ich mache anerkannte erhöhte Werbungskosten geltend (Bescheid/Bescheinigung vom Finanzamt)","I would like to claim for increased advertising expenses (notice/confirmation from tax office) "
"Zeitraum vom","Period from"
"bis voraussichtlich","to (expected)"
"Name:","Last name:"
"Geburtsdatum:","Date of birth:"
"Bitte aktuelle Nachweise beifügen.","Please attach up-to-date evidence."
"von","from"
"bis","until"
"ja","yes"
"nein","no"
"freiwillig (Nachweis erforderlich)","voluntary (proof required)"
"aus folgendem Grund:","because of the following reason:"
"Kapitalvermögen (1.8)","Capital assets (1.8)"
"Datum","Date"
"Aktuelle Nachweise sind beizufügen.","Current evidence must be enclosed."
