"Einkommenserklärung","اعلان درآمد"
"Anlage zum Antrag auf eine(n)","ضمیمه درخواست برای"
"Wohnberechtigungsschein (WBS)","برگه دریافت مسکن (WBS)"
"Einkommensbescheinigung nach § 9 Abs. 2 WoFG","اعلان درآمد براساس پاراگراف 9 بند 2 WoFG"
"Bescheinigung nach der RLvF","گواهی براساس RLvF"
"Genehmigung zur Selbstnutzung nach § 7 Abs. 3 WoBindG i.V.m.  § 27 Abs. 7 Nr. 1 WoFG","مجوز برای استفاده شخصی براساس پاراگراف 7 بند 3 i.V.m. WoBindG پاراگراف 27 بند 7 شماره 1 WoFG "
"Dieser Vordruck ist *jeweils* vom Antragsteller und von jedem *Haushaltsangehörigen* auszufüllen!","این فرم چاپی را باید هم درخواست کننده و هم *افراد مستقر* در خانه پرکنند."
"Wichtig:","مهم"
"Die Nummern 1.1 - 4.3 und 7 sind mit ja oder nein zu beantworten!","شماره های 1.1 - 4.3 و 7 باید با بله یا خیر پاسخ داده شوند!"
"für","برای"
"Name, Vorname, Anschrift","نام خانوادگی، نام کوچک، آدرس"
"Name, Vorname des Antragstellers","نام خانوادگی، نام متقاضی"
"Bitte Erläuterungen auf Seite 3 beachten !","لطفا به توضیحات صفحه 3 توجه کنید!"
"Bitte Nachweise (Kopien) beifügen !","لطفا مدارک (کپی) را ضمیمه کنید!"
"letzte 12 Monate vor Antragstellung","12 ماه گذشته پیش از ارائه درخواستنامه"
"im Monat der Antragstellung","درماهی که درخواستنامه ارائه شده"
"Nein","خیر"
"Ja","بلی"
"Betrag:","مبلغ:"
"Ich bezog bzw. beziehe","من دریافت کردم یا دریافت می کنم"
"Einnahmen aus nichtselbstständiger Arbeit (Brutto) (auch Minijob oder geringfügige Tätigkeit)","درآمد از کاراستخدامی (درآمد ناخالص)(همچنینMinijob یا مشاغل کم درآمد)  "
"Einnahmen aus Pensionen und/oder Firmenrenten (Brutto)","حقوق بازنشستگی (ناخالص)"
"Einnahmen aus Renten (z.B. LVA, BfA, BVG) (Brutto)","درآمد بازنشستگی (برای مثال LVA, BfA, BVG) (ناخالص)"
"Einnahmen aus Lohnersatzleistungen, z.B. Arbeitslosengeld, Krankengeld, Elterngeld","درآمد از راه هایی که جایگزین حقوق می باشند برای مثال پول بیکاری، پول به دلیل بیماری، پول از طریق والدین"
"andere Einnahmen / Einkünfte / Sachleistungen","دیگردرآمدها/ عایدی ها/ مزایای غیرنقدی"
"Einnahmen aus Kapitalvermögen - insgesamt -","درآمد از سرمایه شخصی - درمجموع"
"- ohne Abzug des Betrages von 100 EUR i.S. des § 21 Abs. 2 Nr. 3.1 WoFG","بدون کسرمبلغ 100 یورو i.S.  پاراگراف 21 بند 2 شماره 3.1 WoFG"
"Betrag im Jahr vor Antragstellung","مبلغ درسال پیش از ارائه تقاضانامه"
"Einkünfte aus selbstständiger Arbeit","درآمد از طریق کارمستقل یا آزاد"
"Einkünfte aus Gewerbebetrieb","درآمد از طریق شرکت تجاری"
"Einkünfte aus Land und Forstwirtschaft","عایدی هایی که از کشاورزی و جنگلداری هستند"
"Einkünfte aus Vermietung und Verpachtung","عایدی هایی که از کرایه و اجاره هستند"
"Zeitraum vom","مدت زمان از"
"bis voraussichtlich","به احتمال زیاد تا"
"meine(n) geschiedene(n) oder dauernd getrennt lebende(n) Ehegatten / Ehegattin.","همسر مطلقه ام و یا همسرم که به طور دائم از هم جدا زندگی می کنیم."
"Name:","نام خانوادگی:"
"Geburtsdatum:","تاریخ تولد:"
"Verwandtschaftsverhältnis:","نسبت خانوادگی:"
"Ich erhalte Kindergeld für folgende Kinder, die das 18. Lebensjahr vollendet haben:","برای فرزندان زیرکه 18 سالشان تمام شده، کمک هزینه کودک دریافت می کنم:"
"Bitte aktuelle Nachweise beifügen.","لطفا جدید ترین مدارک را ضمیمه کنید. "
"Ich habe bzw. hatte keine Einnahmen / Einkünfte / Leistungen aus folgendem Grund: (z.B. Hausfrau / Hausmann)","من هیچگونه درآمد  / عایدی / دستاورد به دلایل زیر نداشتم: (برای مثال زن خانه دار /  مرد خانه دار) "
"von","از"
"bis","تا"
"Ich entrichte Steuern vom Einkommen","من مالیات بردرآمد می پردازم"
"ja","بلی"
"nein","خیر"
"Ich entrichte Beiträge zur Krankenversicherung","من برای بیمه خدمات درمانی پول می پردازم."
"Pflichtbeiträge"," پرداخت های اجباری"
"freiwillig (Nachweis erforderlich)","اختیاری (ارائه مدرک ضروری است)"
"Ich entrichte Beiträge zur Rentenversicherung","من برای بیمه بازنشستگی پول می پردازم. "
"Meine Einnahmen / Einkünfte / Leistungen werden sich in den nächsten 12 Monaten mit Sicherheit verändern:","درآمد / عایدی ها / دستاوردهای من در12 ماه آینده مطمئنا تغییرخواهند کرد."
"aus folgendem Grund:","به  این دلیل:"
"Kapitalvermögen (1.8)","دارایی سرمایه ای (1.8) "
"- außer privates Kapitalvermögen ab 01.01.2009 -","- به غیر از سرمایه شخصی ازتاریخ 01.01.2009 - "
"Selbstständiger Tätigkeit (1.9)","کار مستقل (1.9)"
"Gewerbebetrieb (1.10)","شرکت تجاری (1.10)"
"Land und Forstwirtschaft (1.11)","کشاورزی و جنگلداری (1.11) "
"Vermietung und Verpachtung (1.12)","کرایه و اجاره (1.12)"
"Datum","تاریخ"
"Unterschrift / gesetzlicher Vertreter","امضا/ نماینده قانونی"
"Erläuterungen zur Einkommenserklärung","توضیحات مربوط به اعلام درآمد"
"Zu 1.1","به 1.1"
"Zu 1.2 und 1.3","به  1.2 و 1.3"
"Zu 1.4 und 1.5","به 1.4 و 1.5"
"Fügen Sie die entsprechenden Bescheide bei.","گواهی های مربوطه را ضمیمه کنید."
"Zu 1.6","به 1.6"
"Zu 1.7","به 1.7"
"Zu 1.8","به 1.8"
"Zu 1.9 bis 1.12","به 1.9 تا 1.12"
"Zu 2.","به 2."
"Zu 3.","به .3"
"Zu 3.1","به 3.1"
"Zu 4.","به 4."
"Zu 5.","به .5"
"Aktuelle Nachweise sind beizufügen.","جدیدترین مدارک را ضمیمه کنید."
"Zu 6.","به .6"
"Zu 7.","به .7"
"Zu 8.","به .8"
"Zu 9.","به 9."
"Zu 10.","به .10"
