"Geburtsdatum","تاريخ الولادة"
"Familienstand","الحالة الإجتماعية"
"Verwandtschaftsverhältnis"," علاقات القرابة "
"Staatsangehörigkeit","الجنسية"
"Eigene Einkünfte (§ 21 WoFG)","مداخيل الخاص"
"verheiratet","متزوج\ـة"
"eingetr. Lebenspartn."," اقتران مدني "
"seit:","من"
"ja","نعم"
"nein","لا"
"weitere mitziehende Personen auf besonderem Blatt.","ثاني شخص يسكن معك"
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","نريد نزوج خلال مدة أقصاها من فترة ٦ شهور بعد تخلية الشقة "
"Derzeitige Wohnanschrift","عنوان حالي"
"der Person/(en) 1 und","من شخص ١ و "
"Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist.","سوف أرسل قرار عن هدا عنوان، إذا موكّل من نقطة ٣ ما موجود"
"Straße","الشارع"
"PLZ und Ort"," رقم بريدي و مكان"
"Ich bewohne / Wir bewohnen die Wohnung"," انا اسكن - نسكن في شقة"
"als Hauptmieter","من المستأجر الرئيسي "
"als Untermieter","من مستأجر من مستأجر"
"mit den Eltern, die die Wohnung weiterhin nutzen","مع الوالدان,التي تيستخدمون الشقة في المستقبل "
"Sozialwohnung"," مسكن اجتماعي "
"Name des Hauptmieters:","إسم المستأجر الرئيسي "
"Die Wohnung wird bewohnt seit dem","نسكن في شقة من"
"Sammelheizung","التدفئة الجماعية"
"Ofenheizung","تدفئة بالموقد"
"Größe:","كبر"
"Zimmer,","غرف"
"m² Wohnfläche"," منطقة المعيشة بل متر مربع "
"Aufzug","مرفع"
"Etage","طابق"
"(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)","بيانات تطوعية لكن يجبري لما يطلب حاجة معيشة خاصةً"
"gegebenenfalls weitere Personen, die in dem Haushalt aufgenommen werden sollen.","احتمالا أشخص ثاني ،يسجل في ميزانية "
"der Person/(en) zu","شخص"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich).","بيانات ضرورية من قنون § 27 Abs. 3 Nr. 2 WoFG"
"Bitte den Bescheid an meine/meinen Bevollmächtigte(n) senden.","لو سمحت يرسل القرار عن موكّلي"
"Name, Vorname","اللقب, الاسم"
"Ich bin / Wir sind (Angabe erforderlich nach § 24 WoFG.)","نحن- انا --بيانات ضرورية من §24WoFG"
"Name, Vorname der/des Behinderten"," الإسم الكامل من المعوق"
"häuslich pflegebedürftig *"," بحاجة إلى الرعاية بلبيت"
"Schwerbehinderte mit Rollstuhl"," معاق إعاقة شديدة مع كرسي متحرك "
"Ort","المكان"
"Datum","التاريخ"
"Telefon - Nummer (für Rückfragen tagsüber)","رقم تلفون في حالة وجود أسئلة "
"Diesem Antrag sind beizufügen:"," لازم يضاف على هدا الطلب"
"Hinweise","الملاحظات"
"Allgemeines","معلومات عامة"
"Hinweise für die Antragstellung","ملاحيظ لتقديم الطلب "
"Sonstige Erläuterungen","إيضاح ثاني"
"für zwei Personen","لشخصين"
"ein Wohnraum","محل السكنى واحد"
"für drei Personen"," ل٣ أشخاص"
"zwei Wohnräume","محل السكنى اثنان"
"für vier und fünf Personen","ل٤ و ٥ أشخاص"
"drei Wohnräume","محل السكنى ثلاث"
"für sechs Personen und mehr","ل٦ و أكتر أشخاص"
"vier Wohnräume","محل السكنى أربع"
"einer anderen Wohnung bedürfen oder"," احتاج إلى شقة ثاني"
"einer eigenen Wohnung bedürfen."," احتاج إلى شقة خاصتية"
"Hier nur einige Beispiele:","المثال البعض"
