"Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen.","Lesen Sie bitte zuerst die **Hinweise**. Dann gibt es weniger Fragen."
"Bitte deutlich, möglichst in Blockschrift ausfüllen.","Schreiben Sie ordentlich. Schreiben Sie alles in Großbuchstaben."
"Zutreffendes bitte ankreuzen!","Kreuzen Sie an, was richtig ist."
"Nicht vom Antragsteller auszufüllen!","Hier schreiben Sie nichts. Hier schreibt nur jemand vom Amt."
"Antragsnummer","Nummer des Antrags"
"Eingangsstempel","Stempel vom Amt"
"Die künftige Wohnung wollen gemeinsam beziehen (Haushaltsangehörige gem. § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG):","Diese Personen werden gemeinsam in der Wohnung wohnen:"
"Name, Vorname / ggf. Geburtsname","Nachname, Vorname. Falls die Person verheiratet ist: War ihr Nachname vor der Hochzeit anders? Dann den früheren Nachnamen auch hier schreiben."
"Geburtsdatum","Wann ist die Person geboren?"
"Familienstand","Familienstand"
"Verwandtschaftsverhältnis","Wie ist die Person mit Ihnen verwandt (Ist die Person Ihre Mutter, Ihr Sohn, Ihre Schwester, Ihr Cousin, ...)"
"Staatsangehörigkeit","Staatsangehörigkeit (Von welchem Land hat die Person einen Pass?)"
"Eigene Einkünfte (§ 21 WoFG)","Verdient die Person Geld? (Z.B. Arbeitslohn, Rente, ...)"
"verheiratet","verheiratet"
"eingetr. Lebenspartn.","eingetragene Lebenspartnerschaft (homosexuelle Variante der Ehe)"
"seit:","Seit wann? (Nur ausfüllen, wenn die Person verheiratet oder in eingetragener Lebenspartnerschaft ist.)"
"ja","ja"
"nein","nein"
"weitere mitziehende Personen auf besonderem Blatt.","Wenn es noch mehr Personen sind, schreiben Sie die auf ein extra Papier."
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","Wir wollen bald heiraten. Spätestens 6 Monate, nachdem wir in die Wohnung eingezogen sind."
"Derzeitige Wohnanschrift","Ihre aktuelle Adresse"
"Straße","Straße"
"Sozialwohnung","Sozialwohnung"
"Sammelheizung","Sammelheizung"
"Ofenheizung","Ofenheizung"
"Name, Vorname","Name, Vorname"
"Ort","Ort"
"Datum","Datum"
"Telefon - Nummer (für Rückfragen tagsüber)","Telefonnummer, wo man Sie tagsüber erreichen kann"
"Diesem Antrag sind beizufügen:","Zu diesem Antrag müssen Sie noch weitere Papiere abgeben:"
"Für jede im Antrag aufgeführte Person eine Einkommenserklärung nach Vordruck und die entsprechenden Einkommensnachweise (z.B. Einkommensbescheinigung des Arbeitgebers, Einkommensteuerbescheid bei Selbstständigen, Rentenbescheide).","Für jede Person:
Das Formular ""Einkommenserklärung""
Papier, auf dem steht, wie viel Geld die Person verdient (z.B. Papier vom Arbeitgeber)."
"Hinweise","Hinweise"
"Allgemeines","Allgemeines"
"Eine belegungsgebundene Wohnung darf einem Wohnungssuchenden nur überlassen werden, wenn er - gemäß § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG) in der jeweils geltenden Fassung - wohnberechtigt ist. Danach ist einem/einer antragsberechtigten Wohnungssuchenden auf Antrag ein Wohnberechtigungsschein (WBS) zu erteilen, wenn das Gesamteinkommen die sich aus § 9 Wohnraumförderungsgesetz (WoFG) i.V.m. der Verordnung über die Abweichung von den Einkommensgrenzen des § 9 Abs. 2 des Wohnraumfördergesetzes ergebende Einkommensgrenze nicht übersteigt. Für die Ermittlung des Einkommens gelten die Bestimmungen der §§ 20 bis 24 WoFG.","Eine ""belegungsgebundene Wohnung"" ist eine Sozialwohnung. Sie ist nur für Menschen mit einem geringen Einkommen. Diese Menschen sind für die Wohnung ""wohnberechtigt"". Es wird geprüft, wie hoch das Einkommen ist. Die Grenze, wie hoch das Einkommen sein darf, steht im ""Wohnraumförderungsgesetz"". Ist Ihr Einkommen nicht höher als diese Grenze, sind Sie wohnberechtigt und können einen ""Wohnberechtigungsschein (WBS)"" bekommen."
"Ein(e) Vermieter(in) einer belegungsgebundenen Wohnung darf diese nur gegen Vorlage eines WBS überlassen.  Die Überlassung einer Wohnung an den Inhaber eines WBS setzt im Einzelnen noch voraus, dass","Sie können eine Sozialwohnung nur mieten, wenn Sie einen Wohnberechtigungsschein haben. Außerdem ist noch Folgendes wichtig:"
"a) die Wohnung nicht mehr Räume hat, als im WBS angegeben sind;","Die Wohnung darf nicht mehr Zimmer haben, als im Wohnberechtigungsschein stehen;"
"b) ggf. im WBS eine Zugehörigkeit zu dem Personenkreis angegeben ist, dem die Wohnung vorbehalten wurde;","Manche Wohnungen sind nur für bestimmte Menschen, z.B. junge Familien oder Behinderte."
