"Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen.","Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen."
"Bitte deutlich, möglichst in Blockschrift ausfüllen.","Bitte deutlich, möglichst in Blockschrift ausfüllen."
"Zutreffendes bitte ankreuzen!","Zutreffendes bitte ankreuzen!"
"Nicht vom Antragsteller auszufüllen!","Nicht vom Antragsteller auszufüllen!"
"Antragsnummer","Antragsnummer"
"Eingangsstempel","Eingangsstempel"
"Antrag auf einen Wohnberechtigungsschein (WBS)","Antrag auf einen Wohnberechtigungsschein (WBS)"
"Nach § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG)","Nach § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG)"
"Ich bitte/Wir bitten gemeinsam um Bestätigung der Wohnberechtigung für den Bezug einer belegungsgebundenen Wohnung.","Ich bitte/Wir bitten gemeinsam um Bestätigung der Wohnberechtigung für den Bezug einer belegungsgebundenen Wohnung."
"Die künftige Wohnung wollen gemeinsam beziehen (Haushaltsangehörige gem. § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG):","Die künftige Wohnung wollen gemeinsam beziehen (Haushaltsangehörige gem. § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG):"
"Name, Vorname / ggf. Geburtsname","Name, Vorname / ggf. Geburtsname"
"Geburtsdatum","Geburtsdatum"
"Familienstand","Familienstand"
"Verwandtschaftsverhältnis","Verwandtschaftsverhältnis"
"Staatsangehörigkeit","Staatsangehörigkeit"
"Eigene Einkünfte (§ 21 WoFG)","Eigene Einkünfte (§ 21 WoFG)"
"wenn","wenn"
"verheiratet","verheiratet"
"eingetr. Lebenspartn.","eingetr. Lebenspartn."
"seit:","seit:"
"ja","ja"
"nein","nein"
"weitere mitziehende Personen auf besonderem Blatt.","weitere mitziehende Personen auf besonderem Blatt."
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen."
"Derzeitige Wohnanschrift","Derzeitige Wohnanschrift"
"der Person/(en) 1 und","der Person/(en) 1 und"
"Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist.","Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist."
"Straße","Straße"
"PLZ und Ort","PLZ und Ort"
"Ich bewohne / Wir bewohnen die Wohnung","Ich bewohne / Wir bewohnen die Wohnung"
"als Hauptmieter","als Hauptmieter"
"als Untermieter","als Untermieter"
"mit den Eltern, die die Wohnung weiterhin nutzen","mit den Eltern, die die Wohnung weiterhin nutzen"
"Sozialwohnung","Sozialwohnung"
"Name des Hauptmieters:","Name des Hauptmieters:"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)","(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)"
"Die Wohnung wird bewohnt seit dem","Die Wohnung wird bewohnt seit dem"
"Sammelheizung","Sammelheizung"
"Ofenheizung","Ofenheizung"
"Größe:","Größe:"
"Zimmer,","Zimmer,"
"m² Wohnfläche","m² Wohnfläche"
"Aufzug","Aufzug"
"Etage","Etage"
"(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)","(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)"
"gegebenenfalls weitere Personen, die in dem Haushalt aufgenommen werden sollen.","gegebenenfalls weitere Personen, die in dem Haushalt aufgenommen werden sollen."
"der Person/(en) zu","der Person/(en) zu"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich).","(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)."
"Bitte den Bescheid an meine/meinen Bevollmächtigte(n) senden.","Bitte den Bescheid an meine/meinen Bevollmächtigte(n) senden."
"Name, Vorname","Name, Vorname"
"Ich bin / Wir sind (Angabe erforderlich nach § 24 WoFG.)","Ich bin / Wir sind (Angabe erforderlich nach § 24 WoFG.)"
"Name, Vorname der/des Behinderten","Name, Vorname der/des Behinderten"
"Schwerbehindert GdB","Schwerbehindert GdB"
"häuslich pflegebedürftig *","häuslich pflegebedürftig *"
"Schwerbehinderte mit Rollstuhl","Schwerbehinderte mit Rollstuhl"
"(Diese Angaben sind notwendig für die Bescheinigung der Personenkreiszugehörigkeit nach § 27 Abs. 5 WoFG)","(Diese Angaben sind notwendig für die Bescheinigung der Personenkreiszugehörigkeit nach § 27 Abs. 5 WoFG)"
"\* im Sinne des § 14 des Elften Buches Sozialgesetzbuch","\* im Sinne des § 14 des Elften Buches Sozialgesetzbuch"
"Für mich/uns besteht ein besonderer Wohnbedarf, weil folgende besondere Gründe vorliegen:","Für mich/uns besteht ein besonderer Wohnbedarf, weil folgende besondere Gründe vorliegen:"
"(siehe Hinweise unter: D. Sonstige Erläuterungen, Ziff. 5.)","(siehe Hinweise unter: D. Sonstige Erläuterungen, Ziff. 5.)"
"(Die folgenden Angaben sind freiwillig, jedoch bei der Geltendmachung eines besonderen Wohnbedarfs unumgänglich.)","(Die folgenden Angaben sind freiwillig, jedoch bei der Geltendmachung eines besonderen Wohnbedarfs unumgänglich.)"
"Ich beantrage/Wir beantragen, über die regelmäßige Wohnungsgröße (je Person ein Wohnraum) hinaus, aufgrund folgender **besonderer** persönlicher oder beruflicher Bedürfnisse einen **zusätzlichen** Raumbedarf anzuerkennen (freiwillige Angabe).","Ich beantrage/Wir beantragen, über die regelmäßige Wohnungsgröße (je Person ein Wohnraum) hinaus, aufgrund folgender **besonderer** persönlicher oder beruflicher Bedürfnisse einen **zusätzlichen** Raumbedarf anzuerkennen (freiwillige Angabe)."
"Haben Sie oder eine der unter 1. aufgeführten Personen in den letzten 12 Monaten einen WBS erhalten?","Haben Sie oder eine der unter 1. aufgeführten Personen in den letzten 12 Monaten einen WBS erhalten?"
"Falls die Frage bejaht wurde, fügen Sie bitte den WBS Ihrem Antrag bei.","Falls die Frage bejaht wurde, fügen Sie bitte den WBS Ihrem Antrag bei."
"Die Erhebung, Speicherung, Änderung und Nutzung von Daten erfolgt gemäß § 2 WoBindG bzw. § 32 Abs. 2 bis 4 WoFG.","Die Erhebung, Speicherung, Änderung und Nutzung von Daten erfolgt gemäß § 2 WoBindG bzw. § 32 Abs. 2 bis 4 WoFG."
"Ich/Wir stimme(n) der Verarbeitung (erheben, speichern, ändern und nutzen) sämtlicher zuvor aufgeführter persönlicher Daten zu.","Ich/Wir stimme(n) der Verarbeitung (erheben, speichern, ändern und nutzen) sämtlicher zuvor aufgeführter persönlicher Daten zu."
"Darüber hinaus erkläre(n) ich mich/wir uns damit einverstanden, dass für die Zuerkennung eines besonderen Wohnbedarfs bzw. eines Mehrraumbedarfs aus gesundheitlichen Gründen eine gutachterliche Stellungnahme des Landesamtes für Gesundheit und Soziales - Versorgungsamt - unter Bekanntgabe der erforderlichen Daten (Name, Adresse, derzeitige Wohnverhältnisse, Schwerbehindertenbescheid/Atteste) eingeholt werden darf.","Darüber hinaus erkläre(n) ich mich/wir uns damit einverstanden, dass für die Zuerkennung eines besonderen Wohnbedarfs bzw. eines Mehrraumbedarfs aus gesundheitlichen Gründen eine gutachterliche Stellungnahme des Landesamtes für Gesundheit und Soziales - Versorgungsamt - unter Bekanntgabe der erforderlichen Daten (Name, Adresse, derzeitige Wohnverhältnisse, Schwerbehindertenbescheid/Atteste) eingeholt werden darf."
"Mir/Uns ist bekannt, dass ein Wohnberechtigungsschein widerrufen werden kann, wenn er aufgrund unvollständiger oder unrichtiger Angaben, auch in Bezug auf die Einkommensverhältnisse, die mitziehenden Angehörigen und der erklärten zukünftigen Eheschließung erteilt wurde.","Mir/Uns ist bekannt, dass ein Wohnberechtigungsschein widerrufen werden kann, wenn er aufgrund unvollständiger oder unrichtiger Angaben, auch in Bezug auf die Einkommensverhältnisse, die mitziehenden Angehörigen und der erklärten zukünftigen Eheschließung erteilt wurde."
"Arbeitgeber und Finanzämter sind verpflichtet, Auskünfte zum Einkommen zu erteilen, wenn berechtigte Zweifel an der Richtigkeit der Angaben des Antragstellers auftreten.","Arbeitgeber und Finanzämter sind verpflichtet, Auskünfte zum Einkommen zu erteilen, wenn berechtigte Zweifel an der Richtigkeit der Angaben des Antragstellers auftreten."
"Die Unterzeichner dieses Antrages sind damit einverstanden, dass der Bescheid der 1. im Antrag aufgeführten Personen bzw. der/dem Bevollmächtigten zugeht und die Bekanntgabe des Bescheids gegenüber allen im Antrag aufgeführten Personen gilt.","Die Unterzeichner dieses Antrages sind damit einverstanden, dass der Bescheid der 1. im Antrag aufgeführten Personen bzw. der/dem Bevollmächtigten zugeht und die Bekanntgabe des Bescheids gegenüber allen im Antrag aufgeführten Personen gilt."
"Ich versichere / Wir versichern die Richtigkeit aller Angaben.","Ich versichere / Wir versichern die Richtigkeit aller Angaben."
"Mir ist bekannt, dass falsche Angaben ggf. zur Einleitung eines Ermittlungsverfahrens führen können.","Mir ist bekannt, dass falsche Angaben ggf. zur Einleitung eines Ermittlungsverfahrens führen können."
"Unterschrift(en)","Unterschrift(en)"
"(aller im Antrag aufgeführten volljährigen Personen)","(aller im Antrag aufgeführten volljährigen Personen)"
"Ort","Ort"
"Datum","Datum"
", den",", den"
"Telefon - Nummer (für Rückfragen tagsüber)","Telefon - Nummer (für Rückfragen tagsüber)"
"Diesem Antrag sind beizufügen:","Diesem Antrag sind beizufügen:"
"Für jede im Antrag aufgeführte Person eine Einkommenserklärung nach Vordruck und die entsprechenden Einkommensnachweise (z.B. Einkommensbescheinigung des Arbeitgebers, Einkommensteuerbescheid bei Selbstständigen, Rentenbescheide).","Für jede im Antrag aufgeführte Person eine Einkommenserklärung nach Vordruck und die entsprechenden Einkommensnachweise (z.B. Einkommensbescheinigung des Arbeitgebers, Einkommensteuerbescheid bei Selbstständigen, Rentenbescheide)."
"Hinweise","Hinweise"
"Allgemeines","Allgemeines"
"Eine belegungsgebundene Wohnung darf einem Wohnungssuchenden nur überlassen werden, wenn er - gemäß § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG) in der jeweils geltenden Fassung - wohnberechtigt ist. Danach ist einem/einer antragsberechtigten Wohnungssuchenden auf Antrag ein Wohnberechtigungsschein (WBS) zu erteilen, wenn das Gesamteinkommen die sich aus § 9 Wohnraumförderungsgesetz (WoFG) i.V.m. der Verordnung über die Abweichung von den Einkommensgrenzen des § 9 Abs. 2 des Wohnraumfördergesetzes ergebende Einkommensgrenze nicht übersteigt. Für die Ermittlung des Einkommens gelten die Bestimmungen der §§ 20 bis 24 WoFG.","Eine belegungsgebundene Wohnung darf einem Wohnungssuchenden nur überlassen werden, wenn er - gemäß § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG) in der jeweils geltenden Fassung - wohnberechtigt ist. Danach ist einem/einer antragsberechtigten Wohnungssuchenden auf Antrag ein Wohnberechtigungsschein (WBS) zu erteilen, wenn das Gesamteinkommen die sich aus § 9 Wohnraumförderungsgesetz (WoFG) i.V.m. der Verordnung über die Abweichung von den Einkommensgrenzen des § 9 Abs. 2 des Wohnraumfördergesetzes ergebende Einkommensgrenze nicht übersteigt. Für die Ermittlung des Einkommens gelten die Bestimmungen der §§ 20 bis 24 WoFG."
"Ein(e) Vermieter(in) einer belegungsgebundenen Wohnung darf diese nur gegen Vorlage eines WBS überlassen.  Die Überlassung einer Wohnung an den Inhaber eines WBS setzt im Einzelnen noch voraus, dass","Ein(e) Vermieter(in) einer belegungsgebundenen Wohnung darf diese nur gegen Vorlage eines WBS überlassen.  Die Überlassung einer Wohnung an den Inhaber eines WBS setzt im Einzelnen noch voraus, dass"
"a) die Wohnung nicht mehr Räume hat, als im WBS angegeben sind;","a) die Wohnung nicht mehr Räume hat, als im WBS angegeben sind;"
"b) ggf. im WBS eine Zugehörigkeit zu dem Personenkreis angegeben ist, dem die Wohnung vorbehalten wurde;","b) ggf. im WBS eine Zugehörigkeit zu dem Personenkreis angegeben ist, dem die Wohnung vorbehalten wurde;"
