"Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen.","لطفا پیش از اینکه این فرم را پر کنید،**ملاحظات** را بخوانید. با اینکار از سوالات تکراری جلوگیری خواهید کرد. "
"Bitte deutlich, möglichst in Blockschrift ausfüllen.","لطفا خوانا و درحدامکان با حروف بزرگ پر کنید."
"Zutreffendes bitte ankreuzen!","لطفا موارد مربوط را ضربدر بزنید!"
"Nicht vom Antragsteller auszufüllen!","لطفا متقاضی در اینجا چیزی ننویسد!"
"Antragsnummer","شماره درخواست"
"Eingangsstempel","مهر رسید"
"Antrag auf einen Wohnberechtigungsschein (WBS)","درخواستنامه ی گواهی رسمی برای اجاره ی محل مسکونی (WBS)"
"Name, Vorname / ggf. Geburtsname","نام خانوادگی، نام/ همچنین نام خانوادگی هنگام تولد"
"Geburtsdatum","تاریخ تولد"
"Familienstand","وضعیت تاهل"
"Verwandtschaftsverhältnis","نسبت خانوادگی"
"Staatsangehörigkeit","تابعیت"
"Eigene Einkünfte (§ 21 WoFG)","درآمدهای شخصی (بند WoFG 21 ) "
"wenn","در صورتی که"
"verheiratet","متاهل"
"eingetr. Lebenspartn.","شریک زندگی ثبت شده"
"seit:","از زمان:"
"ja","بلی"
"nein","خیر"
"weitere mitziehende Personen auf besonderem Blatt.","نام افراد همراه دیگرتان را در ورقه ای جداگانه بنویسید."
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","ما قصد داریم حداکثر تا 6 ماه پس ازواگذاری آپارتمان ازدواج کنیم."
"Derzeitige Wohnanschrift","آدرس محل سکونت کنونی"
"der Person/(en) 1 und","شخص/ (اشخاص) 1 و"
"Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist.","اطلاعیه به این آدرس فرستاده خواهد شد، درصورتی که درگزینه 3. وکیل اعلام نشده باشد."
"Straße","خیابان"
"PLZ und Ort","کد پستی و شهر"
"Ich bewohne / Wir bewohnen die Wohnung","من/ ما ساکن این خانه هستم"
"als Hauptmieter","به عنوان مستاجراصلی"
"als Untermieter","به عنوان مستاجرمستاجر(مستاجرثانوی)"
"mit den Eltern, die die Wohnung weiterhin nutzen","با پدرومادر، که همچنان درخانه سکونت دارند."
"Sozialwohnung","خانه های دولتی"
"Name des Hauptmieters:","نام مستاجراصلی:"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)","(اطلاعات براساس بند27 پاراگراف3 شماره 2 WoFG ضروریست) "
"Die Wohnung wird bewohnt seit dem","از تاریخ زیردراین خانه ساکن هستم"
"Sammelheizung","وسایل گرمایشی جمعی"
"Ofenheizung","وسیله گرمایشی شومینه"
"Größe:","وسعت:"
"Zimmer,","اتاق،"
"m² Wohnfläche","مساحت خانه به متر مربع"
"Aufzug","آسانسور"
"Etage","طبقه"
"(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)","(دادن اطلاعات اختیاریست، اگرچه برای درخواست ویژه ی نیاز به مسکن ضروریست.)"
"gegebenenfalls weitere Personen, die in dem Haushalt aufgenommen werden sollen.","همچنین افراد دیگری که قراراست دراین خانه سکونت داشته باشند. "
"der Person/(en) zu","شخص/ (اشخاص) به"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich).","(دادن اطلاعات براساس بند27 پاراگراف3 شماره 2 WoFG ضروریست)"
"Bitte den Bescheid an meine/meinen Bevollmächtigte(n) senden.","لطفا گزارش را به آدرس وکیلم/ نماینده ام بفرستید."
"Name, Vorname","نام خانوادگی، نام"
"Ich bin / Wir sind (Angabe erforderlich nach § 24 WoFG.)","من هستم/ ما هستیم (دادن اطلاعات براساس بند 24 WoFG ضروریست.)"
"Name, Vorname der/des Behinderten","نام خانوادگی، نام شخص معلول"
"Schwerbehindert GdB","معلول GdB"
"häuslich pflegebedürftig *","محتاج مراقبت در خانه*"
"Schwerbehinderte mit Rollstuhl","معلول با صندلی چرخ‌دار"
"\* im Sinne des § 14 des Elften Buches Sozialgesetzbuch","            /*براساس پاراگراف 14 کتاب یازدهم قوانین مدنی"
