"Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen.","Avant de remplir le formulaire, veuillez lire les **conseils** . Cela vous fera gagner du temps et vous évitera des questionnements superflus."
"Bitte deutlich, möglichst in Blockschrift ausfüllen.","Ecrire de manière lisible et en majuscules."
"Zutreffendes bitte ankreuzen!","Veuillez cocher ce qui vous concerne!"
"Nicht vom Antragsteller auszufüllen!","Ne pas remplir!"
"Antragsnummer","Numéro de dossier"
"Eingangsstempel","Tampon à la reception"
"Antrag auf einen Wohnberechtigungsschein (WBS)","Demande de logement à loyer modéré (WBS)"
"Nach § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG)","D'après le § 5 (WoBindG) ainsi que le § 27 (WoFG) de la loi sur le logement"
"Die künftige Wohnung wollen gemeinsam beziehen (Haushaltsangehörige gem. § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG):","Le futur logement sera occupé par (membres du ménage § 5 WoBindG / § 27 WoFG i.V. et § 18 WoFG):"
"Name, Vorname / ggf. Geburtsname","Nom, Prénom / Nom de naissance"
"Geburtsdatum","Date de naissance"
"Familienstand","Situation familiale"
"Verwandtschaftsverhältnis","Lien de parenté"
"Staatsangehörigkeit","Nationalité"
"Eigene Einkünfte (§ 21 WoFG)","Revenus propres (§ 21 WoFG)"
"wenn","si"
"verheiratet","marié(e)"
"eingetr. Lebenspartn.","union civile"
"seit:","depuis:"
"ja","oui"
"nein","non"
"weitere mitziehende Personen auf besonderem Blatt.","Autre personne emménageant dans le logement à renseigner sur le formulaire prévu à cet effet."
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","Nous avons l'intention de nous marier au plus tard 6 mois après l'emménagement."
"Derzeitige Wohnanschrift","Adresse actuelle"
"der Person/(en) 1 und","de la/des personne(s) 1 et de"
"Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist.","La décision sera communiquée par voix postale à moins qu'un plénipotentiaire soit renseigné au point 3"
"Straße","Rue"
"PLZ und Ort","code postal et ville"
"Ich bewohne / Wir bewohnen die Wohnung","Je vis dans cet appartement/nous vivons dans cet appartement"
"als Hauptmieter","comme locataire principal"
"als Untermieter","comme sous-locataire"
"mit den Eltern, die die Wohnung weiterhin nutzen","avec les parents, qui utilisent l'apartement aussi"
"Sozialwohnung","Logement social"
"Name des Hauptmieters:","Nom du locataire principal:"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)","(Donnée obligatoire selon § 27 Alinéa 3 N°2 du WoFG)"
"Die Wohnung wird bewohnt seit dem","L'apartement est habité depuis le"
"Sammelheizung","chauffage collectif"
"Ofenheizung","chauffage au poêle"
"Größe:","Taille:"
"Zimmer,","Chambre,"
"m² Wohnfläche","m² surface habitable"
"Aufzug","ascenseur"
"Etage","étage"
"(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)","(Cette information n'est pas à renseigner obligatoirement mais toutefois nécessaire pour les demandes de logements spéciaux.)"
"gegebenenfalls weitere Personen, die in dem Haushalt aufgenommen werden sollen.","toute autre personne à inclure dans le ménage."
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich).","(Information obligatoire selon le § 27, Alinéa 3, N° 2 du WoFG)."
"Bitte den Bescheid an meine/meinen Bevollmächtigte(n) senden.","Merci d'envoyer la décision à mon plénipotentiaire."
"Name, Vorname","Nom, prénom"
"Ich bin / Wir sind (Angabe erforderlich nach § 24 WoFG.)","Je suis / Nous sommes (information obligatoire selon le § 24 du WoFG.)"
"Name, Vorname der/des Behinderten","Nom, prénom de la personne en situation de handicap."
"Schwerbehindert GdB","Personne en situation de handicap sévère, degré du handicap"
"häuslich pflegebedürftig *","nécessite une aide à domicile *"
"Schwerbehinderte mit Rollstuhl","Personne handicapée en fauteuil"
"\* im Sinne des § 14 des Elften Buches Sozialgesetzbuch","\* En accord avec le § 14 du 11ème Livre du Code Social (Buches Sozialgesetzbuch)"
"Für mich/uns besteht ein besonderer Wohnbedarf, weil folgende besondere Gründe vorliegen:","Les raisons suivantes justifient ma demande / notre demande de logement social :"
"(siehe Hinweise unter: D. Sonstige Erläuterungen, Ziff. 5.)","(voir les conseils sous la catégorie D. Autres explications, voir 5.)"
"(Die folgenden Angaben sind freiwillig, jedoch bei der Geltendmachung eines besonderen Wohnbedarfs unumgänglich.)","(Cette information n'est pas à renseigner obligatoirement mais toutefois indispensable pour toute demande de logement.)"
"Ich beantrage/Wir beantragen, über die regelmäßige Wohnungsgröße (je Person ein Wohnraum) hinaus, aufgrund folgender **besonderer** persönlicher oder beruflicher Bedürfnisse einen **zusätzlichen** Raumbedarf anzuerkennen (freiwillige Angabe).","Je demande/nous demandons la reconnaissance des **besoins en espace supplémentaire** en plus de la taille normale de l'appartement (une chambre par personne) compte tenu de **besoins personnels ou professionnels particuliers** suivants (information non obligatoire)."
"Haben Sie oder eine der unter 1. aufgeführten Personen in den letzten 12 Monaten einen WBS erhalten?","Est-ce que vous ou l'une des personnes énumérées sous 1. avez reçu une attestation de WBS au cours des 12 derniers mois ?"
"Falls die Frage bejaht wurde, fügen Sie bitte den WBS Ihrem Antrag bei.","Si vous avez répondu par l'affirmative, veuillez joindre l'attestation de WBS à votre demande."
"Die Erhebung, Speicherung, Änderung und Nutzung von Daten erfolgt gemäß § 2 WoBindG bzw. § 32 Abs. 2 bis 4 WoFG.","La collecte, le stockage, la modification et l'utilisation des données ont lieu conformément au § 2 WoBindG ou § 32 alinéas 2 à 4 WoFG."
"Ich/Wir stimme(n) der Verarbeitung (erheben, speichern, ändern und nutzen) sämtlicher zuvor aufgeführter persönlicher Daten zu.","J'accepte/Nous acceptons le traitement (collecte, stockage, modification et utilisation) de toutes les données personnelles mentionnées précédemment."
"Darüber hinaus erkläre(n) ich mich/wir uns damit einverstanden, dass für die Zuerkennung eines besonderen Wohnbedarfs bzw. eines Mehrraumbedarfs aus gesundheitlichen Gründen eine gutachterliche Stellungnahme des Landesamtes für Gesundheit und Soziales - Versorgungsamt - unter Bekanntgabe der erforderlichen Daten (Name, Adresse, derzeitige Wohnverhältnisse, Schwerbehindertenbescheid/Atteste) eingeholt werden darf.","En outre, j'accepte/nous acceptons que pour l'octroi d'un besoin spécial de logement ou d'un besoin de plusieurs pièces pour des raisons de santé, une opinion d'expert peut être obtenue auprès de l'Office national de la santé et des affaires sociales - Versorgungsamt - en indiquant les données nécessaires (nom, adresse, conditions de vie actuelles, notification/certificats de la personne gravement handicapée)."
"Mir/Uns ist bekannt, dass ein Wohnberechtigungsschein widerrufen werden kann, wenn er aufgrund unvollständiger oder unrichtiger Angaben, auch in Bezug auf die Einkommensverhältnisse, die mitziehenden Angehörigen und der erklärten zukünftigen Eheschließung erteilt wurde.","Je sais/nous savons qu'un certificat de droit au séjour peut être révoqué s'il a été délivré sur la base d'informations incomplètes ou incorrectes, y compris en ce qui concerne le revenu, les membres de la famille qui accompagnent l'intéressé et le mariage futur déclaré."
"Arbeitgeber und Finanzämter sind verpflichtet, Auskünfte zum Einkommen zu erteilen, wenn berechtigte Zweifel an der Richtigkeit der Angaben des Antragstellers auftreten.","Les employeurs et les administrations fiscales sont tenus de fournir des informations sur les revenus en cas de doutes justifiés quant à l'exactitude des données du demandeur."
"Die Unterzeichner dieses Antrages sind damit einverstanden, dass der Bescheid der 1. im Antrag aufgeführten Personen bzw. der/dem Bevollmächtigten zugeht und die Bekanntgabe des Bescheids gegenüber allen im Antrag aufgeführten Personen gilt.","Les signataires de la présente demande conviennent que la décision 1. de la ou des personnes énumérées dans la demande ou du représentant autorisé doit être reçue et que la décision doit être notifiée à toutes les personnes énumérées dans la demande."
"Ich versichere / Wir versichern die Richtigkeit aller Angaben.","J'atteste / nous attestons de la véracité de toutes les informations fournies."
"Mir ist bekannt, dass falsche Angaben ggf. zur Einleitung eines Ermittlungsverfahrens führen können.","Je suis conscient que le renseignement de fausses informations pourrait mener à des poursuites."
"Unterschrift(en)","signature(s)"
"(aller im Antrag aufgeführten volljährigen Personen)","(toutes les personnes majeures figurant dans le formulaire)"
"Ort","Ville"
"Datum","Date"
", den",", le"
"Telefon - Nummer (für Rückfragen tagsüber)","Numéro de téléphone à contacter (en journée) en cas de questions"
"Diesem Antrag sind beizufügen:","Les pièces suivantes sont à joindre à la demande :"
"Für jede im Antrag aufgeführte Person eine Einkommenserklärung nach Vordruck und die entsprechenden Einkommensnachweise (z.B. Einkommensbescheinigung des Arbeitgebers, Einkommensteuerbescheid bei Selbstständigen, Rentenbescheide).","Pour chaque personne mentionnée dans la demande, une déclaration de revenus selon le formulaire et la preuve de revenu correspondante est à joindre (p. ex. certificat de revenu de l'employeur, cotisation d'impôt sur le revenu pour les travailleurs indépendants, avis de cotisation de retraite)."
"Hinweise","Note explicative"
"Allgemeines","Généralités"
"Eine belegungsgebundene Wohnung darf einem Wohnungssuchenden nur überlassen werden, wenn er - gemäß § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG) in der jeweils geltenden Fassung - wohnberechtigt ist. Danach ist einem/einer antragsberechtigten Wohnungssuchenden auf Antrag ein Wohnberechtigungsschein (WBS) zu erteilen, wenn das Gesamteinkommen die sich aus § 9 Wohnraumförderungsgesetz (WoFG) i.V.m. der Verordnung über die Abweichung von den Einkommensgrenzen des § 9 Abs. 2 des Wohnraumfördergesetzes ergebende Einkommensgrenze nicht übersteigt. Für die Ermittlung des Einkommens gelten die Bestimmungen der §§ 20 bis 24 WoFG.","Un appartement faisant l'objet d'une occupation ne peut être remis à un demandeur d'appartement que s'il a le droit de vivre - conformément à l'article 5 de la loi sur le logement (WoBindG) ou à l'article 27 de la loi sur l'aide au logement (WoFG) dans sa version actuellement en vigueur. En conséquence, un certificat de droit au logement (WBS) doit être délivré à un demandeur sur demande si le revenu total ne dépasse pas la limite de revenu résultant de l'article 9 de la loi sur l'aide au logement (WoFG) en conjonction avec l'ordonnance sur les écarts par rapport aux limites de revenu de l'article 9, paragraphe 2, de la loi sur l'aide au logement. Les dispositions des §§ 20 à 24 WoFG s'appliquent au calcul du revenu."
"Ein(e) Vermieter(in) einer belegungsgebundenen Wohnung darf diese nur gegen Vorlage eines WBS überlassen.  Die Überlassung einer Wohnung an den Inhaber eines WBS setzt im Einzelnen noch voraus, dass","Le / la propriétaire d'un appartement occupé ne peut le mettre à disposition que sur présentation d'une attestation de WBS. Le transfert d'un appartement à une personne titulaire d'une attestation WBS n'est possible qu'aux conditions suivantes :"
"a) die Wohnung nicht mehr Räume hat, als im WBS angegeben sind;","a) L'appartement ne comporte pas plus de pièces que stipulé dans l'attestation de WBS;"
"b) ggf. im WBS eine Zugehörigkeit zu dem Personenkreis angegeben ist, dem die Wohnung vorbehalten wurde;","b) le cas échéant, l'attestation de WBS stipule l'affiliation au groupe de personnes à qui l'appartement a été réservé;"
"Die Erfüllung der Voraussetzungen, unter denen ein WBS ggf. erteilt wurde, müssen auf Anforderung des Wohnungsamtes nachgewiesen werden.","Le respect des exigences en vertu desquelles une attestation WBS peut avoir été délivrée doit être vérifié sur demande du bureau du logement."
"Erläuterungen zu","Explication sur"
"Sonstige Erläuterungen","Autres explications"
