"Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen.","Пожалуйста прочитайте дополнительную информацию (**Hinweise**), перед тем как заполнять эту анкету. Этим бы можете сэкономит бремя спрашивать нас."
"Bitte deutlich, möglichst in Blockschrift ausfüllen.","Пожалуйста пишите четко печатными буквами."
"Zutreffendes bitte ankreuzen!","Пожалуйста отметьте подходящее крестиком!"
"Nicht vom Antragsteller auszufüllen!","Не заполняется заявителем!"
"Antragsnummer","Номер заявления"
"Eingangsstempel","Штамп получения"
"Antrag auf einen Wohnberechtigungsschein (WBS)","Заявление на удостоверение на право на квартиру ""Wohnberechtigungsschein (WBS)"""
"Nach § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG)","По § 5 закона квартирных обязательств (WoBindG) и § 27 закона поощрения квартир (WoFG)"
"Ich bitte/Wir bitten gemeinsam um Bestätigung der Wohnberechtigung für den Bezug einer belegungsgebundenen Wohnung.","Я/Мы просим подтверждения права на квартиру для получения квартиры для которой нужна справка."
"Die künftige Wohnung wollen gemeinsam beziehen (Haushaltsangehörige gem. § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG):","Мы хотим вместе поселится в будущей квартире (совместное хозяйство как в  § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG)"
"Name, Vorname / ggf. Geburtsname","фамилия, имя / при случае фамилия по рождению"
"Geburtsdatum","Дата рождения"
"Familienstand","семейное положение"
"Verwandtschaftsverhältnis","Родственная связь"
"Staatsangehörigkeit","Гражданство"
"Eigene Einkünfte (§ 21 WoFG)","Доходы заявителя (§ 21 WoFG)"
"wenn","если"
"verheiratet","женат / замужем"
"eingetr. Lebenspartn.","Зарегистрированный партнер/ша"
"seit:","с (дата)"
"ja","да"
"nein","нет"
"weitere mitziehende Personen auf besonderem Blatt.","Укажите других переезжающих лиц их на отдельном листе."
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","Мы планируем вступит в брак в течение 6 месяцев после предоставления квартиры."
"Derzeitige Wohnanschrift","Актуальный адрес"
"der Person/(en) 1 und","Лица 1 и"
"Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist.","Уведомление будет выслан на этот адрес, если под пунктом 3 не указанно доверенное лицо."
"Straße","Улица"
"PLZ und Ort","почтовый индекс и город"
"Ich bewohne / Wir bewohnen die Wohnung","Я проживаю / Мы проживаем в квартире"
"als Hauptmieter","как основной съёмщик"
"als Untermieter","как поднаниматель"
"mit den Eltern, die die Wohnung weiterhin nutzen","с родителями которые дальше пользуются крартирой"
"Sozialwohnung","муниципальная квартира "
"Name des Hauptmieters:","фамилия и имя основного съёмщика"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)","(сведения нужны по § 27 Abs. 3 Nr. 2 WoFG)"
"Die Wohnung wird bewohnt seit dem","В квартире живут с"
"Sammelheizung","центральное отопление"
"Ofenheizung","печное отопление"
"Größe:","Размер:"
"Zimmer,","комнат,"
"m² Wohnfläche","Площадь в m²"
"Aufzug","Лифт"
"Etage","етаж"
"(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)","(Сведения предоставляются добровольно но необходимы в случае подачи заявления на особенное жильё.)"
"Name, Vorname","Фамилия, имя"
"Ort","Населенный пункт"
"Datum","Дата"
"Hinweise","Указания"
"Allgemeines","Общие указания"
