"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","الاسم، المكان والرقم التجاري للمحكمة"
"Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","شرح عن الوضع الشخصي والمالي بالنسبة للمعونة المالية للقيام بالاجراءات"
"– Belege sind in Kopie durchnummeriert beizufügen –","برجاء ارفاق نسخ مرقمة من الوثائق"
"Angaben zu Ihrer Person","معلومات شخصية"
"Name, Vorname, ggf. Geburtsname","اسم العائلة، الاسم الأول، في حال تواجد: اسم الولادة"
"Beruf, Erwerbstätigkeit","المهنة، المسمى الوظيفي"
"Geburtsdatum","تاريخ الميلاد"
"Familienstand","الحالة الاجتماعية"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","العنوان (الشارع، رقم البيت، الرقم البريدي، البلد)"
"Tagsüber tel. erreichbar unter Nummer","رقم الهاتف للتواصل اثناء النهار"
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)","في حال تواجد: الممثل القانوني (اسم العائلة، الاسم الاول، العنوان، رقم التواصل)"
"Rechtsschutzversicherung/ Mitgliedschaft","تأمين ضد تكاليف التقاضي - العضوية"
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?","1. هل ستتحمل شركة تأمين أو جهة / شخص آخر (مثلا نقابة العمال، جمعية مستأجرين، مؤسسة اجتماعية) تكاليف القيام بالاجراءات القانوينة الخاصة بكم؟"
"Beleg Nummer","رقم الوثيقة"
"Nein","لا"
"Ja:","نعم"
"In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich.","بحال نعم. كم قدر المبلغ؟ إذا كانت شركة تأمين سوف تتحمل كامل التكاليف او جهة او شخص آخر، فان الموافقة على مساعدة مالية ليست ممكنة وبالتالي الاجابة على الاسئلة التالية *ليس* مطلوبا"
"2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?","2.*إذا كانت الإجابة بلا*: هل يوجد تأمين للحماية القانونية، أو عضوية في أي جمعية، أو منظمة (كنقابة العمال، اتحاد المستأجرين، منظمة اجتماعية) تستطيع أن تتحمل تكاليف القيام بالاجراءات المعنية، او توفير وكيل للدعوى القانونية؟"
"Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei.","اسم التأمين، الجمعية، المنظمة. الرجاء التوضيح في اقرب وقت ممكن، اذا كانت التكاليف مغطاه. يرجى ارفاق الطلبات المقدمة بالفعل والتي تم رفضها من قبل التأمين او اي من الجمعيات"
"Unterhaltsanspruch gegenüber anderen Personen","نفقات إلى أشخاص آخرين"
"Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?","هل عندكم أقرباء ملزمون قانونيا بدفع نفقة لك (حتى وان لم يتم الدفع فعليا)"
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin","على سبيل المثال: أم، أب، زوج، زوجة، شريك مسجل، شريكة مسجلة"
"Name des Unterhaltsverpflichteten. Bitte geben Sie auf einem weiteren Exemplar dieses Formulars seine persönliche und wirtschaftlichen Verhältnisse an, sofern diese nicht bereits vollständig aus den folgenden Abschnitten ersichtlich sind.","اسم الشخص الملزم بدفع النفقة. الرجاء تحديد العلاقة الشخصية أو المالية بهم على نسخة أخرى لهذه الاستمارة بحال لم تكف المساحة هنا."
