"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","Name, Ort und Nummer von dem Gericht:"
"Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","Erklärung zu Ihnen und zu Ihrer Geld-Situation, wenn Sie einen Antrag Hilfe für Prozesskosten stellen"
"– Belege sind in Kopie durchnummeriert beizufügen –","– Sie müssen die Belege kopieren, nummerieren und zusammen mit diesem Formular abgeben –"
"Angaben zu Ihrer Person","Informationen über Sie"
"Name, Vorname, ggf. Geburtsname","Name, Vorname. Wenn sich Ihr Name geändert hat: Dann schreiben Sie auch Ihren Geburtsnamen dazu."
"Beruf, Erwerbstätigkeit","Beruf, Arbeitsstelle"
"Geburtsdatum","Geburtsdatum"
"Familienstand","Sind Sie ledig, verheiratet, geschieden oder verwitwet?"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","Adresse (Straße, Hausnummer, Postleitzahl, Stadt)"
"Tagsüber tel. erreichbar unter Nummer","Telefonnummer tagsüber"
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)","Haben Sie einen gesetzlichen Vertreter (zum Beispiel einen Rechtsanwalt)? (Dann schreiben Sie hier seinen Namen, Vornamen, seine Adresse, seine Telefonnummer.)"
"Rechtsschutzversicherung/ Mitgliedschaft","Versicherung für Prozesse/ Mitgliedschaft in einer Organisation"
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?","1. Bezahlt eine Versicherung für Prozesse oder jemand anderes (zum Beispiel eine Gewerkschaft, ein Verein für Mieter, ein Sozialverband, eine Person) die Kosten für Ihren Prozess?"
"Beleg Nummer","Beleg Nummer"
"Nein","Nein"
"Ja:","Ja:"
"In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich.","Wie viel zahlt die Versicherung oder jemand anderes? Wenn eine Versicherung oder jemand anderes alle Kosten für Ihren Prozess zahlt: Dann können Sie keine Hilfe vom Staat bekommen. Sie müssen *keine* weiteren Fragen beantworten."
"2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?","2. *Wenn Sie mit Nein geantwortet haben*: Haben sie eine Versicherung für Prozesse? Oder sind Sie Mitglied in einer Organisation (zum Beispiel eine Gewerkschaft, ein Verein für Mieter, ein Sozialverband), die vielleicht die Kosten für Ihren Prozess zahlt? Oder die Ihnen einen Anwalt geben kann?"
"Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei.","Name von der Versicherung oder von dem Verein. Gut ist: Fragen Sie die Versicherung oder den Verein schon jetzt, ob die Versicherung oder der Verein die Kosten für Ihren Prozess zahlt. Wenn nicht: Vielleicht haben Sie Papiere, die zeigen, dass die Versicherung oder der Verein die Kosten für Ihren Prozess nicht zahlt. Dann geben Sie diese Papiere zusammen mit diesem Formular ab."
"Unterhaltsanspruch gegenüber anderen Personen","Müssen andere Personen für Sie jeden Monat eine Hilfe zahlen?"
"Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?","Gibt es jemanden in Ihrer Familie, der Ihnen jeden Monat eine Hilfe zahlen muss? (Sie müssen den Namen von dieser Person auch dann geben, wenn diese Person Ihnen kein Geld zahlt.)"
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin","Zum Beispiel Ihre Mutter, Ihr Vater, Ihr Ehemann/Ihre Ehefrau, Ihr eingetragener Lebenspartner/Ihre eingetragene Lebenspartnerin"
"Name des Unterhaltsverpflichteten. Bitte geben Sie auf einem weiteren Exemplar dieses Formulars seine persönliche und wirtschaftlichen Verhältnisse an, sofern diese nicht bereits vollständig aus den folgenden Abschnitten ersichtlich sind.","Name der Person, die die Unterstützung bezahlen muss. Vielleicht können Sie in diesem Formular nicht alle Informationen über diese Person und ihre Geld-Situation geben. Dann füllen Sie dieses Formular noch mal extra aus. In dieses neue Formular schreiben Sie die Informationen über diese Person und ihre Geld-Situation."
"Angehörige, denen Sie Bar- oder Naturalunterhalt gewähren","Menschen in Ihrer Familie, denen Sie helfen. Vielleicht helfen Sie diesen Menschen mit Geld. Oder vielleicht mit Dingen wie Zimmer, Essen oder Kleidung."
