"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","Bezeichnung, Ort und Geschäftsnummer des Gerichts:"
"Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe"
"– Belege sind in Kopie durchnummeriert beizufügen –","– Belege sind in Kopie durchnummeriert beizufügen –"
"Angaben zu Ihrer Person","Angaben zu Ihrer Person"
"Name, Vorname, ggf. Geburtsname","Name, Vorname, ggf. Geburtsname"
"Beruf, Erwerbstätigkeit","Beruf, Erwerbstätigkeit"
"Geburtsdatum","Geburtsdatum"
"Familienstand","Familienstand"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)"
"Tagsüber tel. erreichbar unter Nummer","Tagsüber tel. erreichbar unter Nummer"
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)","Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)"
"Rechtsschutzversicherung/ Mitgliedschaft","Rechtsschutzversicherung/ Mitgliedschaft"
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?","1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?"
"Beleg Nummer","Beleg Nummer"
"Nein","Nein"
"Ja:","Ja:"
"In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich.","In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich."
"2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?","2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?"
"Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei.","Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei."
"Unterhaltsanspruch gegenüber anderen Personen","Unterhaltsanspruch gegenüber anderen Personen"
"Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?","Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?"
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin","z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin"
"Name des Unterhaltsverpflichteten. Bitte geben Sie auf einem weiteren Exemplar dieses Formulars seine persönliche und wirtschaftlichen Verhältnisse an, sofern diese nicht bereits vollständig aus den folgenden Abschnitten ersichtlich sind.","Name des Unterhaltsverpflichteten. Bitte geben Sie auf einem weiteren Exemplar dieses Formulars seine persönliche und wirtschaftlichen Verhältnisse an, sofern diese nicht bereits vollständig aus den folgenden Abschnitten ersichtlich sind."
"Angehörige, denen Sie Bar- oder Naturalunterhalt gewähren","Angehörige, denen Sie Bar- oder Naturalunterhalt gewähren"
"Name, Vorname, Anschrift","Name, Vorname, Anschrift"
"(sofern sie von Ihrer Anschrift abweicht)","(sofern sie von Ihrer Anschrift abweicht)"
"Verhältnis","Verhältnis"
"(z. B. Ehegatte, Kind, Mutter)","(z. B. Ehegatte, Kind, Mutter)"
"Monatsbetrag in EUR, soweit Sie den Unterhalt nur durch Zahlung gewähren","Monatsbetrag in EUR, soweit Sie den Unterhalt nur durch Zahlung gewähren"
"Haben diese Angehörigen eigene Einnahmen?","Haben diese Angehörigen eigene Einnahmen?"
"z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw.","z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw."
"mtl. EUR netto","mtl. EUR netto"
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch (Sozialhilfe) beziehen und den aktuellen Bescheid einschließlich des Berechnungsbogens vollständig beifügen, müssen Sie die *Abschnitte E bis J* nicht ausfüllen, es sei denn, das Gericht ordnet dies an.","Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch (Sozialhilfe) beziehen und den aktuellen Bescheid einschließlich des Berechnungsbogens vollständig beifügen, müssen Sie die *Abschnitte E bis J* nicht ausfüllen, es sei denn, das Gericht ordnet dies an."
"Bruttoeinnahmen","Bruttoeinnahmen"
"Belege (z. B. Lohnbescheinigung, Steuerbescheid, Bewilligungsbescheid mit Berechnungsbogen) müssen in Kopie beigefügt werden.","Belege (z. B. Lohnbescheinigung, Steuerbescheid, Bewilligungsbescheid mit Berechnungsbogen) müssen in Kopie beigefügt werden."
"1. Haben Sie Einnahmen aus","1. Haben Sie Einnahmen aus"
"(bitte die monatlichen Bruttobeträge in EUR angeben)","(bitte die monatlichen Bruttobeträge in EUR angeben)"
"Nichtselbständiger Arbeit?","Nichtselbständiger Arbeit?"
"mtl. EUR brutto","mtl. EUR brutto"
"Selbständiger Arbeit/ Gewerbebetrieb/ Land- und Forstwirtschaft?","Selbständiger Arbeit/ Gewerbebetrieb/ Land- und Forstwirtschaft?"
"Vermietung und Verpachtung?","Vermietung und Verpachtung?"
"Kapitalvermögen?","Kapitalvermögen?"
"Kindergeld/ Kinderzuschlag?","Kindergeld/ Kinderzuschlag?"
"Wohngeld?","Wohngeld?"
"Unterhalt?","Unterhalt?"
"Rente/ Pension?","Rente/ Pension?"
"Arbeitslosengeld?","Arbeitslosengeld?"
"Arbeitslosengeld II?","Arbeitslosengeld II?"
"Krankengeld?","Krankengeld?"
"Elterngeld?","Elterngeld?"
"2. Haben Sie andere Einnahmen?","2. Haben Sie andere Einnahmen?"
"auch einmalige oder unregelmäßige","auch einmalige oder unregelmäßige"
"Wenn Ja, bitte Art, Bezugszeitraum und Höhe angeben","Wenn Ja, bitte Art, Bezugszeitraum und Höhe angeben"
"z. B. Weihnachts-/ Urlaubsgeld jährlich, Steuererstattung jährlich, BAföG mtl.","z. B. Weihnachts-/ Urlaubsgeld jährlich, Steuererstattung jährlich, BAföG mtl."
"EUR brutto","EUR brutto"
"3. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin Einnahmen aus","3. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin Einnahmen aus"
