"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","Name, location and business number of the Court:"
"Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","Statement of the personal and economic circumstances in process or legal aid"
"– Belege sind in Kopie durchnummeriert beizufügen –","- Documents must be attached in numbered copies -"
"Angaben zu Ihrer Person","Personal information"
"Name, Vorname, ggf. Geburtsname","Name, first name, if applicable maiden name"
"Beruf, Erwerbstätigkeit","Profession, employment"
"Geburtsdatum","Date of birth"
"Familienstand","Marital status"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","Address (street, house number, postcode, city)"
"Tagsüber tel. erreichbar unter Nummer","Daytime contact tel. number"
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)","If present: Legal representative (name, first name, address, phone)"
"Rechtsschutzversicherung/ Mitgliedschaft","Legal expenses insurance/ membership"
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?","1. Does a legal expenses insurance or another entity/ person (e. g. trade union, tenant association, social organization) cover the cost of your trial or process?"
"Beleg Nummer","Document number"
"Nein","No"
"Ja:","Yes:"
"In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich.","For which amount? If the full costs are covered by an insurance policy or other organization/ person, granting legal and process aid is not possible and therefore the answers to the other questions are * not * required."
"2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?","2. *If no*: Is there a legal expenses insurance or a membership in an association/ organization (e. g. trade union, tenant association, social organization) which might cover the costs of the proposed process or process management or provide an authorized process representative?"
"Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei.","Name of the insurance/ the association/ the organization. Clarify in advance, if possible, whether the costs will be covered. Attach any documentation of a (partial) rejection by the insurance / association/ organization to the application."
"Unterhaltsanspruch gegenüber anderen Personen","Alimony/maintenance requirement to other persons"
"Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?","Do you have any relatives who are legally obliged to pay you alimony / maintenance (even if there is actually no benefits received)?"
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin","e. g. mother, father, spouse, registered partner"
