"Name, Vorname, ggf. Geburtsname","نام خانوادگی، نام و تاریخ تولد"
"Beruf, Erwerbstätigkeit","شغل، اشتغال"
"Geburtsdatum","تاریخ تولد"
"Familienstand","وضعیت تاهل"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","آدرس (خیابان، پلاک خانه، کد پستی، شهر محل زندگی) "
"Tagsüber tel. erreichbar unter Nummer","شماره تلفن برای پرسش های احتمالی در طول روز."
"Nein","خیر"
"Ja:","بلی:"
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin","    برای مثال مادر، پدر، همسر، شریک زندگی"
"Name, Vorname, Anschrift","نام خانوادگی، نام کوچک، آدرس"
"Verhältnis","نسبیت"
"(z. B. Ehegatte, Kind, Mutter)","(برای مثال همسر، فرزند، مادر)"
"Haben diese Angehörigen eigene Einnahmen?","آیا این اعضای خانواده درآمد شخصی خود را دارند؟"
"z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw.","برای مثال کمک هزینه تحصیلی، هزینه زندگی که از طریق والد دیگر پرداخت می شود وغیره."
"mtl. EUR netto","درآمد خالص ماهانه به یورو"
"Bruttoeinnahmen","درآمد ناخالص"
"Nichtselbständiger Arbeit?","کار استخدامی؟"
"mtl. EUR brutto","درآمد ناخالص ماهانه به یورو"
"Kapitalvermögen?","دارایی نقدی و یا سهام؟"
"Kindergeld/ Kinderzuschlag?","کمک هزینه کودک/ کمک های مکمل برای فرزند؟"
"Wohngeld?","یارانه مسکن؟"
"Unterhalt?","هزینه معیشتی؟"
"Rente/ Pension?","حقوق بازنشستگی/ پانسیون؟"
"Arbeitslosengeld?","مزایای بیکاری؟"
"Arbeitslosengeld II?","مزایای بیکاریII؟"
"Krankengeld?","پولی که شرکت بیمه به علت ازکارافتادگی به بیمار می‌پردازد."
"Elterngeld?","مزایای مربوط به والدین؟"
"2. Haben Sie andere Einnahmen?","2. آیا درآمد دیگری دارید؟"
"auch einmalige oder unregelmäßige","حتا اگر یکبار بوده یا به طور غیرمنظم"
"EUR brutto","درآمد ناخالص به یورو"
"Abzüge","کپی مدارک"
"Beleg","رسید"
"EUR mtl.","ماهانه به یورو"
"Wohnkosten","هزینه مسکن"
"2. Zahl der Zimmer:","2. تعداد اتاق ها:"
"Ja","بلی"
"Miete ohne Nebenkosten","اجاره خانه بدون مخارج جانبی"
"Heizungskosten","هزینه سیستم گرمایشی"
"Übrige Nebenkosten","باقی مخارج جانبی"
"Gesamtbetrag","مبلغ کل"
"Ort, Datum","محل، تاریخ"
"Unterschrift/ Amtsbezeichnung","امضا/ عنوان اداری"
