"Bezeichnung, Ort und Geschäftsnummer des Gerichts:",
Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe,
– Belege sind in Kopie durchnummeriert beizufügen –,
Angaben zu Ihrer Person,
"Name, Vorname, ggf. Geburtsname",
"Beruf, Erwerbstätigkeit",
Geburtsdatum,Data de nascimento
Familienstand,Estado civil
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)",
Tagsüber tel. erreichbar unter Nummer,
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)",
Rechtsschutzversicherung/ Mitgliedschaft,
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?",
Beleg Nummer,
Nein,
Ja:,
"In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich.",
"2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?",
"Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei.",
Unterhaltsanspruch gegenüber anderen Personen,
"Haben Sie Angehörige, die Ihnen gegenüber gesetzlich zur Leistung von Unterhalt verpflichtet sind (auch wenn tatsächlich keine Leistungen erfolgen)?",
"z. B. Mutter, Vater, Ehegatte/Ehegattin, eingetragene(r) Lebenspartner/ Lebenspartnerin",
"Name des Unterhaltsverpflichteten. Bitte geben Sie auf einem weiteren Exemplar dieses Formulars seine persönliche und wirtschaftlichen Verhältnisse an, sofern diese nicht bereits vollständig aus den folgenden Abschnitten ersichtlich sind.",
"Angehörige, denen Sie Bar- oder Naturalunterhalt gewähren",
"Name, Vorname, Anschrift",
(sofern sie von Ihrer Anschrift abweicht),
Verhältnis,
"(z. B. Ehegatte, Kind, Mutter)",
"Monatsbetrag in EUR, soweit Sie den Unterhalt nur durch Zahlung gewähren",
Haben diese Angehörigen eigene Einnahmen?,
"z. B. Ausbildungsvergütung, Unterhaltszahlung vom anderen Elternteil usw.",
mtl. EUR netto,
"Wenn Sie laufende Leistungen zum Lebensunterhalt nach dem Zwölften Buch Sozialgesetzbuch (Sozialhilfe) beziehen und den aktuellen Bescheid einschließlich des Berechnungsbogens vollständig beifügen, müssen Sie die *Abschnitte E bis J* nicht ausfüllen, es sei denn, das Gericht ordnet dies an.",
Bruttoeinnahmen,
"Belege (z. B. Lohnbescheinigung, Steuerbescheid, Bewilligungsbescheid mit Berechnungsbogen) müssen in Kopie beigefügt werden.",
1. Haben Sie Einnahmen aus,
(bitte die monatlichen Bruttobeträge in EUR angeben),
Nichtselbständiger Arbeit?,
mtl. EUR brutto,
Selbständiger Arbeit/ Gewerbebetrieb/ Land- und Forstwirtschaft?,
Vermietung und Verpachtung?,
Kapitalvermögen?,
Kindergeld/ Kinderzuschlag?,
Wohngeld?,
Unterhalt?,
Rente/ Pension?,
Arbeitslosengeld?,
Arbeitslosengeld II?,
Krankengeld?,
Elterngeld?,
2. Haben Sie andere Einnahmen?,
auch einmalige oder unregelmäßige,
"Wenn Ja, bitte Art, Bezugszeitraum und Höhe angeben",
"z. B. Weihnachts-/ Urlaubsgeld jährlich, Steuererstattung jährlich, BAföG mtl.",
EUR brutto,
3. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin Einnahmen aus,
4. Hat Ihr Ehegatte/ eingetragener Lebenspartner bzw. Ihre Ehegattin/ eingetragene Lebenspartnerin andere Einnahmen?,
5. Falls zu den Einnahmen alle Fragen verneint werden: Auf welche Umstände ist dies zurückzuführen? Wie bestreiten Sie Ihren Lebensunterhalt?,
Angaben hierzu sind auf einem gesonderten Blatt beizufügen!,
Abzüge,
"Art der Abzüge bitte kurz bezeichnen (z. B. Lohnsteuer, Pflichtbeiträge, Lebensversicherung). Belege müssen in Kopie beigefügt werden.",
1. Welche Abzüge haben Sie?,
Beleg,
Steuern/ Solidaritätszuschlag,
EUR mtl.,
Sozialversicherungsbeiträge,
Sonstige Versicherungen,
Fahrt zur Arbeit (Kosten für öffentliche Verkehrsmittel oder einfache Entfernung bei KFZ-Nutzung),
Sonstige Werbungskosten/ Betriebsausgaben,
2. Welche Abzüge hat Ihr Ehegatte/ eing. Lebenspartner,
Bankkonten/ Grundeigentum/ Kraftfahrzeuge/ Bargeld/ Vermögenswerte,
Verfügen Sie oder Ihr Ehegatte/ Ihre Ehegattin bzw. Ihr eingetragener Lebenspartner/ Ihre eingetragene Lebenspartnerin allein oder gemeinsam über...,
"1. Bank-, Giro-, Sparkonten oder dergleichen?",
Angaben zu allen Konten sind auch bei fehlendem Guthaben erforderlich.,
"Art des Kontos, Kontoinhaber, Kreditinstitut",
Kontostand in EUR,
2. Grundeigentum?,
"z. B. Grundstück, Haus, Eigentumswohnung, Erbbaurecht",
"Größe, Anschrift/ Grundbuchbezeichnung, Allein- oder Miteigentum, Zahl der Wohneinheiten",
Verkehrswert in EUR,
3. Kraftfahrzeuge?,
"Marke, Typ, Baujahr, Anschaffungsjahr, Allein- oder Miteigentum, Kilometerstand",
4. Bargeld oder Wertgegenstände?,
"z. B. wertvoller Schmuck, Antiquitäten, hochwertige elektronische Geräte",
"Bargeldbetrag in EUR, Bezeichnung der Wertgegenstände, Allein- oder Miteigentum",
5. Lebens- oder Rentenversicherungen?,
"Versicherung, Versicherungsnehmer, Datum des Vertrages/ Handelt es sich um eine zusätzliche Altersvorsorge gem. Einkommensteuergesetz, die staatlich gefördert wurde („Riester-Rente“)?",
Rückkaufswert in EUR,
6. sonstige Vermögenswerte?,
"z. B. Bausparverträge, Wertpapiere, Beteiligungen, Forderungen",
"Bezeichnung, Allein- oder Miteigentum",
Wohnkosten,
"Belege sind in Kopie beizufügen (z. B. Mietvertrag, Heizkostenabrechnung, Kontoauszüge)",
"1. Gesamtgröße des Wohnraums, den Sie allein oder gemeinsam mit anderen Personen bewohnen:",
(Angabe in Quadratmeter),
2. Zahl der Zimmer:,
"3. Anzahl der Personen, die den Wohnraum",
4. Nutzen Sie den Raum als Mieter oder in einem ähnlichen Nutzungsverhältnis?,
"Wenn ja, bitte die nachfolgenden Angaben in EUR pro Monat ergänzen",
Ja,
Miete ohne Nebenkosten,
Heizungskosten,
Übrige Nebenkosten,
Gesamtbetrag,
Ich allein zahle davon,
"5. Nutzen Sie den Raum als Eigentümer, Miteigentümer oder Erbbauberechtigter?",
Zinsen und Tilgung,
6. Genaue Einzelangaben zu der Belastung aus Fremdmitteln bei Nutzung als (Mit-) Eigentümer usw.,
"z. B. Datum des Darlehensvertrages, Darlehensnehmer, Kreditinstitut, Darlehensrate pro Monat, Zahlungen laufen bis...",
Restschuld in EUR,
Zinsen und Tilgung mtl.,
Sonstige Zahlungsverpflichtungen,
