"Bezeichnung, Ort und Geschäftsnummer des Gerichts:","название, место и регистрационный номер суда"
"Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- oder Verfahrenskostenhilfe","декларация о личных и экономических денежных отношениях для помощи по оплате процессуальных расходов или расходов производства по делу"
"– Belege sind in Kopie durchnummeriert beizufügen –","- прилагайте копии пронумерированных справок"
"Angaben zu Ihrer Person","данные о Вашей личности"
"Name, Vorname, ggf. Geburtsname","фамилия, имя, при случае фамилия по рождению"
"Beruf, Erwerbstätigkeit","профессия, трудовая деятельность"
"Geburtsdatum","дата рождения"
"Familienstand","семейное положение"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","адрес (улица, номер, почтовой индекс, место проживания"
"Tagsüber tel. erreichbar unter Nummer","в дневное время Вы доступны для связи по номеру тел."
"Sofern vorhanden: Gesetzlicher Vertreter (Name, Vorname, Anschrift, Telefon)","если имеется: законный представитель (фамилия, имя, адрес, телефон)"
"Rechtsschutzversicherung/ Mitgliedschaft","страхование судебных издержек / членство"
"1. Trägt eine Rechtsschutzversicherung oder eine andere Stelle/ Person (z. B. Gewerkschaft, Mieterverein, Sozialverband) die Kosten Ihrer Prozess- oder Verfahrensführung?","1. Оплатит ли страхование судебных издержек или другая служба / другое лицо (например профсоюз, объединение квартиросъёмщиков, социальное объединение) расходы на ведение Вашего судебного процесса?"
"Beleg Nummer","номер справки"
"Nein","нет"
"Ja:","да"
"In welcher Höhe? Wenn die Kosten in voller Höhe von einer Versicherung oder anderen Stelle/ Person getragen werden, ist die Bewilligung von Prozess- oder Verfahrenskostenhilfe nicht möglich und damit die Beantwortung der weiteren Fragen *nicht* erforderlich.","В каком размере? Если страхование или другая служба / другое лицо полностью оплатит расходы, предоставление помощи по оплате процессуальных расходов или расходов производства по делу невозможно, а отвечать на следующие вопросы *не* нужно."
"2. *Wenn nein*: Besteht eine Rechtsschutzversicherung oder die Mitgliedschaft in einem Verein/ einer Organisation (z. B. Gewerkschaft, Mieterverein, Sozialverband), der/ die die Kosten der beabsichtigten Prozess- oder Verfahrensführung tragen oder einen Prozessbevollmächtigten stellen könnte?","2. *Если нет*: Есть ли страхование судебных издержек или членство в обществе / организации (например, профсоюзе, объединении квартиросъёмщиков, социальном объединении), которое / -ая может оплатить расходы процесса или производства по делу или представить поверенного в суде?"
"Bezeichnung der Versicherung/ des Vereins/ der Organisation. Klären Sie möglichst vorab, ob die Kosten getragen werden. Bereits vorhandene Belege über eine (Teil-)Ablehnung seitens der Versicherung/ des Vereins/ der Organisation fügen Sie dem Antrag bei.","Название страхования / общества / организации. Если возможно, узнайте заранее, могут ли они оплатить расходы. Приложите к этому заявлению уже имеющиеся справки о (частичном) отказе со стороны страхования / общества / организации."
"Unterhaltsanspruch gegenüber anderen Personen","право на получение алиментов"
