"Ansicht als Formular","منظر كنموذج للطلب"
"Bisher keine Übersetzungen in dieser Sprache.","إلى الآن لا يوجد استمارات مترجمة في هذه اللغة."
"Deutsch","ألماني"
"Übersetzung von Formularen","مشروع ترجمة الاستمارات الرسمية"
"Originaldokument","الملف الأصلي"
"Sprache","اللغة"
"Sprache wechseln:","تحويل اللغة:"
"Titel","العنوان"
"Zuletzt aktualisiert","آخر التحديثات"
"about","على هذا الموقع يتم نشر جداول عن استمارات رسمية مترجمة لعدة لغات, و التي من الممكن أن تساعد اللاجئين و المهاجرين عند التعامل مع المؤسسات الرسمية وتوجههم بشكل صحيح

إن الترجمة الموجودة هنا قد تمت من قبل أشخاص متطوعين عن طريق منظمة [KuB Berlin](//www.kub-berlin.org/formularprojekt/) و لا يمكن اعتبارها وثائق رسمية

لأنه من الممكن حدوث العديد من الأخطاء أثناء تعبئة هذه المستندات فإننا ننصح بالحصول على الاستشارة أيضاً أثناء تعبئتها"
"direction","rtl"
"disclaimer","**انتباه**: إن هذه الترجمة قد تمت من قبل أشخاص متطوعين و لا يمكن اعتبارها وثائق رسمية"
"disclaimer_long","**تنبيه**: إن هذا الملف هو للمساعدة في تعبئة المعلومات المطلوبة. يرجى تعبئة هذا الملف باللغة الألمانية!

عند تعبئة البيانات بشكل شخصي يمكن أن تحدث بعض الأخطاء، وهذا بدوره قد يؤدي إلى عواقب غير مرغوبة، لذلك ننصح بالحصول على الإستشارة قبل التعبئة.

تم ترجمة هذه الوثائق بأفضل طريقة من قبل متطوعين ذوي خبرة، ولكن لا تتحمل .KuB e. V أية مسؤولية تجاه ذلك."
"language","عربي"
"language_de","Arabisch"
"Über dieses Projekt","عن المشروع"
"Übersetzte Dokumente","الاستمارات المترجمة"
"Übersetzung verbessern","تحسين الترجمة"
