"Bisher keine Übersetzungen in dieser Sprache.","Hasta ahora no existen traducciones en este idioma."
"Deutsch","Alemán"
"Originaldokument","Documento original"
"Sprache","Idioma"
"Sprache wechseln:","Cambiar el idioma:"
"Titel","Título"
"Zuletzt aktualisiert","Actualizado por última vez"
"about","En esta página web se publican tablas con traducciones de formularios oficiales. Estas tablas intentan ayudar a personas migradas y refugiadas orientarse mejor en el caos de las instituciones alemanas.

Las traducciones de las tablas son provistas por la [KuB Berlin](//www.kub-berlin.org/formularprojekt/). Estas son realizadas por personas voluntarias y no son documentos oficiales.

Al rellenar es fácil cometer un error. Por eso, recomendamos la visita suplementaria de un asesoramiento."
"direction","ltr"
"disclaimer","**Atención:** Esta traducción ha sido realizada por personas voluntarias y no es un documento oficial!"
"disclaimer_long1","**Atención**: Este documento le ayuda a rellenar el formulario. Por favor, rellene el formulario original en alemán y preséntelo en las oficinas de gobierno."
"disclaimer_long1_online","**Atención**: Este documento le ayuda a rellenar el formulario. Por favor, complete el formulario enlínea en alemán!"
"disclaimer_long2","Si rellena el formulario independientemente, pueden ocurir errores con consecuencias no intencionadas. Por eso recomendamos que usted visite un centro de asesoría.

Todas las traducciones son realizadas por voluntarios a su leal saber y entender. La KuB no asume ninguna responsibilidad."
"language","Español"
"language_de","Spanisch"
"Über dieses Projekt","Sobre este proyecto"
"Übersetzte Dokumente","Documentos traducidos"
