"Bisher keine Übersetzungen in dieser Sprache.","Pas de traductions disponibles en cette langue."
"Deutsch","Allemand"
"Originaldokument","Document original"
"Sprache","Langue"
"Sprache wechseln:","Changer la langue :"
"Titel","Titre"
"Zuletzt aktualisiert","Dernière mise à jour"
"about","Sur ce site web, nous publions la traduction du vocabulaire utilisé dans des formulaires officielles. Ce faisant, nous voulons aider des refugé-e-s et immigrant-e-s à s'orienter dans le labyrinthe administratif de l'Allemagne.

Les traductions sont provisionnées par la [KuB Berlin](//www.kub-berlin.org/formularprojekt/). Elles sont faites par des volontaires. Elles ne sont pas officielles !

En remplissant ces formulaires, des erreurs occurent faciliment, c'est pourquoi nous recommandons à se laisser consulter."
"direction","ltr"
"disclaimer","**Attention :** Cette traduction a été faite par des volontaires. Elle n'est pas officielle !"
"disclaimer_long","**Attention**: Ceci est un document destiné à vous aider pour remplir le formulaire en langue allemande. Prière de remplir le formulaire en ligne en langue allemande!

Pour éviter les erreurs, il est préférable de ne pas remplir le formulaire seul. Nous vous conseillons donc de vous faire assister par un centre d'aide.

Tous les textes ont été consciencieusement traduits par des bénévoles. L'association KuB décline toute responsabilité."
"language","Français"
"language_de","Französisch"
"Über dieses Projekt","Sur ce projet"
"Übersetzte Dokumente","Documents traduits"
