"Ansicht als Formular","Вид формуляра"
"Bisher keine Übersetzungen in dieser Sprache.","Пока нет переводов на данный язык."
"Deutsch","Немецкий"
"Übersetzung von Formularen","проект по переводу формуляров"
"Originaldokument","Оригинальный документ"
"Sprache","язык"
"Sprache wechseln:","Поменять язык:"
"Titel","Название"
"Zuletzt aktualisiert","Дата изменения"
"about","На этом сайте опубликованы переводы официальных немецких формуляров, которые должны помочь людям со статусом беженца и мигранта сориентироваться в бюрократических тонкостях.

Основные переводы предоставлены проектом [KuB Berlin](//www.kub-berlin.org/formularprojekt/). Данные переводы выполнены волонтерами и не являются официальными!

Поскольку при заполнении формуляров легко совершить ошибку мы рекомендуем Вам обратиться за дополнительной консультацией."
"direction","ltr"
"disclaimer","**Внимание:** Данные переводы выполнены волонтерами и не являются официальными!"
"disclaimer_long","**Внимание**: этот документ является только помощью к заполнению. Заполняйте, пожалуйста, онлайн формуляр на немецком языке!

Заполняя бланк заявления самостоятельно (без консультации), Вы можете допустить ошибки, которые могут повлечь за собой нежеланные последствия. Поэтому мы советуем Вам обратиться за консультацией в справочно-консультационный отдел.

Все переводы сделаны силами и знаниями переводчиков-волонтеров. KuB e. V. не несет ответственности за перевод."
"language","Русский"
"language_de","Russisch"
"Über dieses Projekt","О проекте"
"Übersetzte Dokumente","Переведенные документы"
"Übersetzung verbessern","Улучшить перевод"
